Hotel,Area,Room,Demand,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue
圓山大飯店,Taipei,500,12674,81.77%,4594,58222585,76688446,152478584
The Grand Hotel,Taipei,0,,,,,,
國賓大飯店,Taipei,422,10102,77.22%,3911,39509021,97285321,150079316
The Ambassador Hotel-Taipei,Taipei,0,,,,,,
台北華國大飯店,Taipei,326,8843,87.50%,3003,26559438,10238931,38963304
Imperial Hotel Taipei,Taipei,0,,,,,,
華泰王子大飯店,Taipei,215,5543,83.17%,2964,16428155,12638402,32383938
GLORIA PRINCE HOTEL Taipei,Taipei,0,,,,,,
國王大飯店,Taipei,97,2086,69.37%,1520,3171497,901771,4163630
Emperor Hotel,Taipei,0,,,,,,
豪景大酒店,Taipei,209,4986,76.96%,2652,13223347,1916634,15420597
Hotel Riverview Taipei,Taipei,0,,,,,,
台北凱撒大飯店,Taipei,478,13990,94.41%,3606,50447863,26311529,83802698
Caesar Park Taipei,Taipei,0,,,,,,
康華大飯店,Taipei,215,5228,78.44%,2620,13699729,13077723,27927528
Golden China Hotel,Taipei,0,,,,,,
神旺大飯店,Taipei,268,7360,88.59%,3335,24547000,32972599,62212297
San Want Hotel,Taipei,0,,,,,,
兄弟大飯店,Taipei,250,5980,77.16%,3669,21942873,47257735,74487962
Brother Hotel,Taipei,0,,,,,,
三德大飯店,Taipei,268,6771,81.50%,2192,14839350,6508861,22491396
Santos Hotel,Taipei,0,,,,,,
亞都麗緻大飯店,Taipei,209,4872,75.20%,4613,22474435,15811745,44197548
The Landis Taipei Hotel,Taipei,0,,,,,,
國聯大飯店,Taipei,243,5400,71.68%,2328,12571793,2011380,16151063
United Hotel,Taipei,0,,,,,,
台北寒舍喜來登大飯店,Taipei,688,17422,81.69%,4959,86391256,136506394,248362270
Sheraton Grand Taipei Hotel,Taipei,0,,,,,,
老爺大酒店,Taipei,202,6010,95.98%,5105,30682106,27111354,65691951
Hotel Royal-Nikko Taipei,Taipei,0,,,,,,
福華大飯店,Taipei,606,13799,73.45%,4300,59341000,52701000,131067000
Howard Plaza Hotel,Taipei,0,,,,,,
台北君悅酒店,Taipei,850,21606,82.00%,6828,147535718,116738007,296241259
Grand Hyatt Taipei,Taipei,0,,,,,,
晶華酒店,Taipei,538,14417,86.44%,6084,87706916,173396158,321516831
Regent Taipei,Taipei,0,,,,,,
西華大飯店,Taipei,343,9083,85.42%,4838,43946363,24262610,74350383
The Sherwood Hotel Taipei,Taipei,0,,,,,,
香格里拉台北遠東國際大飯店,Taipei,420,10507,80.70%,6823,71685356,76396521,170846800
"Shangri-La's Far Eastern Plaza Hotel, Taipei",Taipei,0,,,,,,
台北威斯汀六福皇宮,Taipei,288,5446,61.00%,5337,29067341,61328308,96535390
The Westin Taipei,Taipei,0,,,,,,
美麗信花園酒店,Taipei,203,5715,90.82%,2448,13989644,6429451,27047064
Miramar Garden Taipei,Taipei,0,,,,,,
台北寒舍艾美酒店,Taipei,160,4300,86.69%,10465,45001312,85220395,147687239
Le Meridien Taipei Hotel,Taipei,0,,,,,,
台北W飯店,Taipei,405,10668,84.97%,10028,106979357,63907226,191379294
W Taipei,Taipei,0,,,,,,
台北萬豪酒店,Taipei,318,8138,82.55%,6390,52002594,103519897,191830900
Taipei Marriott Hotel,Taipei,0,,,,,,
台北美福大飯店,Taipei,146,2853,63.04%,6686,19075597,65685108,89964062
Grand Mayfull Hotel Taipei,Taipei,0,,,,,,
亞士都飯店,Taipei,40,707,57.02%,2418,1709344,0,1709344
Astar Hotel,Taipei,0,,,,,,
第一大飯店,Taipei,176,3980,72.95%,1782,7092364,2928565,29628612
First Hotel,Taipei,0,,,,,,
六福客棧,Taipei,226,6062,86.53%,1549,9388083,7732996,17618145
The Leofoo Hotel,Taipei,0,,,,,,
洛碁大飯店花華本館,Taipei,112,3036,87.44%,2068,6279957,0,6279957
Flora Hotel Main,Taipei,0,,,,,,
義華酒店,Taipei,149,1282,27.75%,4000,5128000,182201,8822446
YIHUA Hotel,Taipei,0,,,,,,
歐華酒店,Taipei,112,2095,60.34%,3263,6836758,6917325,15266014
The Riviera Hotel,Taipei,0,,,,,,
慶泰大飯店,Taipei,150,3529,75.89%,3094,10920027,7134107,18742616
Gala Hotel,Taipei,0,,,,,,
天成大飯店,Taipei,225,6799,97.48%,3375,22944032,35210920,62030367
Cosmos Hotel TAIPEI,Taipei,0,,,,,,
福容大飯店 台北一館,Taipei,120,2763,74.27%,3225,8911013,11803923,22197966
"Fullon Hotel Taipei,Central",Taipei,0,,,,,,
首都大飯店,Taipei,129,3542,88.57%,3317,11749500,3801326,15751364
Capital Hotel,Taipei,0,,,,,,
台北君品大酒店,Taipei,286,7428,83.78%,5504,40884560,59679838,105624679
Palais De Chine Hotel Taipei,Taipei,0,,,,,,
台北花園大酒店,Taipei,241,7012,93.86%,2823,19793956,29121675,53175571
Taipei Garden Hotel,Taipei,0,,,,,,
日勝生加賀屋國際溫泉飯店,Taipei,90,2032,72.83%,8309,16884666,13334369,39138338
Radium-Kagaya,Taipei,0,,,,,,
北投麗禧溫泉酒店,Taipei,66,1722,84.16%,14757,25411219,12687240,47682768
Grand View Resort Beitou,Taipei,0,,,,,,
寒舍艾麗酒店,Taipei,234,6345,87.47%,6952,44110814,33764989,85600557
Humble House Hotel Taipei,Taipei,0,,,,,,
北投老爺酒店,Taipei,50,1227,79.16%,6375,7821956,3717769,13517891
Hotel Royal Beitou,Taipei,0,,,,,,
台北有園飯店,Taipei,56,1534,88.36%,2960,4540523,321628,4976211
U HOTEL TAIPEI,Taipei,0,,,,,,
量子酒店,Taipei,101,2711,86.59%,4385,11886732,5185336,18867470
S Hotel,Taipei,0,,,,,,
台北中山雅樂軒酒店,Taipei,88,2498,91.57%,4052,10121921,952482,12294198
Aloft Taipei Zhongshan,Taipei,0,,,,,,
華王大飯店,Kaohsiung,297,5003,54.34%,1583,7918770,3540318,11626920
Hotel Kingdom,Kaohsiung,0,,,,,,
華園大飯店,Kaohsiung,269,5006,60.03%,1677,8395203,6338327,15103704
Hotel Holiday Garden Kaohsiung,Kaohsiung,0,,,,,,
高雄國賓大飯店,Kaohsiung,453,12784,91.03%,2211,28268432,48871325,79587232
The Ambassador Hotel Kaohsiung,Kaohsiung,0,,,,,,
漢來大飯店,Kaohsiung,535,14668,88.44%,3229,47362816,86291009,149808241
GRAND HI-LAI HOTEL,Kaohsiung,0,,,,,,
高雄福華大飯店,Kaohsiung,271,8007,95.31%,2326,18626353,27468035,50140540
Howard Plaza Hotel Kaohsiung,Kaohsiung,0,,,,,,
君鴻國際酒店,Kaohsiung,585,12381,68.27%,2631,32580115,34328671,80257430
85 SKY TOWER HOTEL,Kaohsiung,0,,,,,,
寒軒國際大飯店,Kaohsiung,380,9888,83.94%,2046,20234324,24130591,45383700
Han-Hsien lnternational Hotel,Kaohsiung,0,,,,,,
麗尊大酒店,Kaohsiung,198,4608,75.07%,2190,10091075,21898446,34303684
The Lees Hotel,Kaohsiung,0,,,,,,
義大皇家酒店,Kaohsiung,656,11182,54.99%,3579,40020378,30788603,74542905
E-DA Royal Hotel,Kaohsiung,0,,,,,,
晶英國際行館,Kaohsiung,147,1150,25.24%,7428,8542043,13012805,23482876
Silks Club,Kaohsiung,0,,,,,,
福容大飯店 高雄,Kaohsiung,250,6356,82.01%,1848,11748283,6774678,18535394
Fullon Hotel Kaohsiung,Kaohsiung,0,,,,,,
全國大飯店,Taichung,178,3935,71.31%,2203,8669043,21444330,33414238
Hotel National,Taichung,0,,,,,,
長榮桂冠酒店(台中),Taichung,354,8915,81.24%,2502,22309645,28038176,56790780
Evergreen Laurel Hotel (Taichung),Taichung,0,,,,,,
台中福華大飯店,Taichung,155,3358,69.89%,2865,9621091,15677252,29212052
Howard Prince Hotel Taichung,Taichung,0,,,,,,
台中金典酒店,Taichung,222,6333,92.02%,2983,18893390,26995871,102570989
The Splendor Hotel Taichung,Taichung,0,,,,,,
海灣藝術酒店,Taichung,228,1993,28.20%,1439,2867328,1312004,4179332
HIONE HOTEL,Taichung,0,,,,,,
裕元花園酒店,Taichung,149,3660,79.24%,3447,12617039,29142029,47897992
Windsor Hotel,Taichung,0,,,,,,
台中港酒店,Taichung,200,4343,70.05%,2430,10551760,2033000,13496021
Taichung Harbor Hotel,Taichung,0,,,,,,
花蓮亞士都飯店,Hualien,167,3208,61.97%,1026,3290000,950000,4250485
Astar Hotel,Hualien,0,,,,,,
花蓮翰品酒店,Hualien,197,5259,86.11%,2299,12089021,12675599,25888481
Hualien Chateau de Chine Hotel,Hualien,0,,,,,,
美侖大飯店,Hualien,343,8513,80.06%,2113,17988910,13662334,32468641
Parkview Hotel,Hualien,0,,,,,,
遠雄悅來大飯店,Hualien,381,4949,41.90%,3401,16831541,10059006,32472485
"Farglory Hotel, Hualien",Hualien,0,,,,,,
瑞穗春天國際觀光酒店,Hualien,198,884,14.40%,5813,5138860,2691005,8900631
"Grand Cosmos Resort Ruisui,Hualien",Hualien,0,,,,,,
陽明山中國麗緻大飯店,Scenery,47,811,55.66%,5041,4088041,3655309,10472045
Hotel Landis China Yangmingshan,Scenery,0,,,,,,
趣淘漫旅,Scenery,198,3650,59.47%,2528,9226641,4789933,15426921
HOTEL CHAM CHAM,Scenery,0,,,,,,
高雄圓山大飯店,Scenery,107,2604,78.50%,2415,6289369,16565275,23925189
The Grand Hotel Kaohsiung,Scenery,0,,,,,,
礁溪老爺大酒店,Scenery,193,5021,83.92%,7745,38885479,25834431,77055940
Hotel Royal Chiao-His,Scenery,0,,,,,,
涵碧樓大飯店,Scenery,96,2617,87.94%,13946,36496678,9599841,50515116
The Lalu Sun Moon Lake,Scenery,0,,,,,,
雲品溫泉酒店日月潭,Scenery,211,5650,86.38%,8239,46552286,26299901,77911348
Fleur De Chine Hotel,Scenery,0,,,,,,
日月行館,Scenery,92,1209,42.39%,11372,13748945,2787765,16714867
Wen Wan Hotel & Resorts,Scenery,0,,,,,,
凱撒大飯店,Scenery,281,7922,90.94%,3847,30475438,13286105,45763118
Caesar Park Hotel Kenting,Scenery,0,,,,,,
墾丁福華渡假飯店,Scenery,458,10607,74.71%,2719,28843502,15188263,46247453
Howard Beach Resort Kenting,Scenery,0,,,,,,
東方渡假酒店,Scenery,112,983,28.31%,2638,2592805,2027281,4620086
Dong Fang Du Jia Jiudian Hotel,Scenery,0,,,,,,
知本老爺大酒店,Scenery,182,4991,88.46%,3799,18960022,11527057,34695314
Hotel Royal Chihpen Spa,Scenery,0,,,,,,
太魯閣晶英酒店,Scenery,160,3505,70.67%,7608,26665590,8207198,39133797
"Silks Place Hotel, Taroko",Scenery,0,,,,,,
福容大飯店 福隆,Scenery,174,1394,25.84%,4535,6321160,4036518,10596655
Fulong Beach Resort Hotel,Scenery,0,,,,,,
龍谷大飯店,Scenery,183,2113,37.25%,2105,4447636,1557836,6496551
Dragon Valley Hotel,Scenery,0,,,,,,
阿里山賓館,Scenery,35,552,50.88%,5568,3073613,0,3073613
Alishan House,Scenery,0,,,,,,
名都觀光渡假大飯店,Scenery,99,919,29.94%,1303,1197638,2811724,4158140
Beau Max Resort Hotel,Scenery,0,,,,,,
阿里山賓館(新館),Scenery,102,2563,81.06%,5855,15006466,8150682,24096080
Alishan House,Scenery,0,,,,,,
墾丁怡灣渡假酒店,Scenery,175,1539,28.37%,3865,5948748,1466000,7563553
Grand Bay Resort,Scenery,0,,,,,,
晶悅國際飯店(原桃園大飯店),Taoyuan-Hsinchu-Miaoli,388,8617,71.64%,1770,15252218,8456737,25219598
Pleasant Hotels International,Taoyuan-Hsinchu-Miaoli,0,,,,,,
尊爵天際大飯店,Taoyuan-Hsinchu-Miaoli,250,6302,81.32%,2108,13286346,31591319,45517559
Ｍonarch-Skyline Hotel,Taoyuan-Hsinchu-Miaoli,0,,,,,,
桃禧航空城酒店,Taoyuan-Hsinchu-Miaoli,187,3333,57.50%,2600,8665404,9896524,19981308
HOTEL ORCHARD PARK,Taoyuan-Hsinchu-Miaoli,0,,,,,,
南方莊園渡假飯店,Taoyuan-Hsinchu-Miaoli,111,2593,75.36%,4192,10870858,21069509,37291914
South Gardens Resort,Taoyuan-Hsinchu-Miaoli,0,,,,,,
台北諾富特華航桃園機場飯店,Taoyuan-Hsinchu-Miaoli,516,12190,76.21%,2879,35100480,12744329,53506671
Novotel Taipei Taoyuan International Airport,Taoyuan-Hsinchu-Miaoli,0,,,,,,
新竹喜來登大飯店,Taoyuan-Hsinchu-Miaoli,386,9619,80.39%,3936,37864822,48361167,105329974
Sheraton Hsinchu Hotel,Taoyuan-Hsinchu-Miaoli,0,,,,,,
新竹老爺大酒店,Taoyuan-Hsinchu-Miaoli,208,4272,66.25%,2911,12437182,17651231,31543667
Hotel Royal Hsinchu,Taoyuan-Hsinchu-Miaoli,0,,,,,,
新竹國賓大飯店,Taoyuan-Hsinchu-Miaoli,257,6186,77.65%,2925,18096425,42922913,66556778
The Ambassador Hotel Hsinchu,Taoyuan-Hsinchu-Miaoli,0,,,,,,
尊爵大飯店,Taoyuan-Hsinchu-Miaoli,231,5896,82.33%,2256,13303244,19363243,35397320
Monarch Plaza Hotel,Taoyuan-Hsinchu-Miaoli,0,,,,,,
古華花園飯店,Taoyuan-Hsinchu-Miaoli,255,6300,79.70%,2965,18678746,18976183,39624658
