Hotel,Area,Room,Demand,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Supply,Date
圓⼭⼤飯店,Taipei,500,11859,0.7906,4049.0,48018312,47856327,109087678,3201.1394,15000,2019-04-30
國賓⼤飯店,Taipei,422,8839,0.6981999999999999,3947.0,34889303,65307831,106694543,2755.7953999999995,12660,2019-04-30
台北華國⼤飯店,Taipei,326,8023,0.8203,3081.0,24720379,7719544,34209508,2527.3443,9780,2019-04-30
華泰王⼦⼤飯店,Taipei,213,4455,0.6972,2796.0,12457926,7290588,22579152,1949.3712,6390,2019-04-30
國王⼤飯店,Taipei,97,1823,0.6265,1624.0,2960928,736263,3787611,1017.4359999999999,2910,2019-04-30
豪景⼤酒店,Taipei,209,4806,0.7665000000000001,2108.0,10132598,1002338,11420147,1615.7820000000002,6270,2019-04-30
台北凱撒⼤飯店,Taipei,478,12342,0.8606999999999999,3974.0,49042639,15766992,69589817,3420.4217999999996,14340,2019-04-30
康華⼤飯店,Taipei,215,4461,0.6916,2511.0,11201946,9290548,21260487,1736.6076,6450,2019-04-30
神旺⼤飯店,Taipei,268,7127,0.8864,2591.0,18467829,24831511,47366754,2296.6623999999997,8040,2019-04-30
兄弟⼤飯店,Taipei,250,5456,0.7275,3553.0,19383174,35847586,59218406,2584.8075000000003,7500,2019-04-30
三德⼤飯店,Taipei,287,5431,0.6308,2019.0,10965066,3970804,17125967,1273.5852,8610,2019-04-30
亞都麗緻⼤飯店,Taipei,209,4507,0.7188,4149.0,18699041,9568511,32508217,2982.3012,6270,2019-04-30
國聯⼤飯店,Taipei,243,4895,0.6715000000000001,2283.0,11176185,1149253,13525645,1533.0345000000002,7290,2019-04-30
台北寒舍喜來登⼤飯店,Taipei,688,14942,0.7239,5173.0,77287822,88704316,186416638,3744.7347,20640,2019-04-30
老爺⼤酒店,Taipei,202,5671,0.9358,4839.0,27442862,20067727,54495818,4528.3362,6060,2019-04-30
福華⼤飯店,Taipei,606,13374,0.7356,3805.0,50891000,34083000,102735000,2798.958,18180,2019-04-30
台北君悅酒店,Taipei,850,18283,0.7170000000000001,5918.0,108195078,88428719,222703050,4243.206,25500,2019-04-30
晶華酒店,Taipei,538,13520,0.8377,5648.0,76355459,116408352,241225495,4731.3296,16140,2019-04-30
⻄華⼤飯店,Taipei,343,8247,0.8015000000000001,4372.0,36059143,17315187,58694859,3504.1580000000004,10290,2019-04-30
香格⾥拉台北遠東國際⼤飯店,Taipei,420,9159,0.7269,6209.0,56871280,42783975,114882300,4513.3221,12600,2019-04-30
美麗信花園酒店,Taipei,203,5055,0.83,2237.0,11308106,5470712,22733513,1856.7099999999998,6090,2019-04-30
台北寒舍艾美酒店,Taipei,160,3743,0.7798,9041.0,33840981,49392989,97470097,7050.1718,4800,2019-04-30
台北W飯店,Taipei,405,9927,0.8170000000000001,8698.0,86342562,41713851,145368852,7106.2660000000005,12150,2019-04-30
台北萬豪酒店,Taipei,318,8180,0.8573999999999999,5660.0,46299793,50554664,126714485,4852.884,9540,2019-04-30
台北美福⼤飯店,Taipei,146,2495,0.5696,6615.0,16503886,49825269,71032124,3767.904,4380,2019-04-30
亞⼠都飯店,Taipei,40,588,0.49,2430.0,1429044,0,1429044,1190.7,1200,2019-04-30
第一⼤飯店,Taipei,176,4179,0.7915000000000001,1511.0,6313475,2756584,28574333,1195.9565000000002,5280,2019-04-30
