Area,Date,Room,Supply,Demand,Occupancy,ADR,RevPAR,Room_Revenue,F&B_Revenue,Total_Revenue
Hualien,2019-01-31,1286,39866,16481,0.41,2395.71,990.41,39483652,35525375,81968544
Hualien,2019-02-28,1287,36036,17038,0.47,4066.67,1922.74,69287971,37428983,117989468
Hualien,2019-03-31,1286,39866,17599,0.44,2630.65,1161.31,46296845,34053830,88415173
Hualien,2019-04-30,1286,38580,20505,0.53,9001.2,4784.08,184569625,36275692,230796216
Hualien,2019-05-31,1286,39866,21223,0.53,2602.26,1385.34,55227792,40847051,105775171
Hualien,2019-06-30,1286,38580,23676,0.61,3090.81,1896.79,73178028,48985879,135733785
Hualien,2019-07-31,1286,39866,28534,0.72,3636.62,2602.9,103767179,52751705,175528487
Hualien,2019-08-31,1286,39866,26994,0.68,3567.37,2415.53,96297513,50374092,163452128
Hualien,2019-09-30,1286,38580,18123,0.47,3281.78,1541.62,59475777,44462233,116897606
Hualien,2019-10-31,1286,39866,22427,0.56,3312.51,1863.48,74289559,48755635,136250608
Hualien,2019-11-30,1286,38580,20412,0.53,3008.5,1591.74,61409402,48328395,121844266
Hualien,2019-12-31,1286,39866,20412,0.51,3008.5,1540.4,61409402,48328395,121844266
Kaohsiung,2019-01-31,4041,125271,73568,0.59,2397.74,1408.12,176396594,285906467,507621263
Kaohsiung,2019-02-28,4041,113148,74750,0.66,2917.58,1927.47,218089476,261316724,541809416
Kaohsiung,2019-03-31,4041,125271,81655,0.65,2351.61,1532.84,192020612,235693709,471736352
Kaohsiung,2019-04-30,4041,121230,83243,0.69,2281.88,1566.86,189950129,195757106,425906626
Kaohsiung,2019-05-31,4041,125271,81481,0.65,2191.99,1425.75,178605733,215020913,432104760
Kaohsiung,2019-06-30,4041,121230,76379,0.63,2259.18,1423.36,172553578,220754496,436978596
Kaohsiung,2019-07-31,3456,107136,75344,0.7,2313.93,1627.28,174340773,190471115,397177389
Kaohsiung,2019-08-31,3456,107136,73018,0.68,2373.14,1617.4,173282012,207050319,413765186
Kaohsiung,2019-09-30,3456,103680,62205,0.6,2305.49,1383.23,143412850,202157968,408737111
Kaohsiung,2019-10-31,3456,107136,69952,0.65,2360.47,1541.21,165119323,203371646,398053997
Kaohsiung,2019-11-30,3159,94770,69812,0.74,2374.23,1748.97,165749591,221348387,420593745
Kaohsiung,2019-12-31,3159,97929,69812,0.71,2374.23,1692.55,165749591,221348387,420593745
Others,2019-01-31,4781,148211,73175,0.49,3511.67,1733.79,256966114,306582253,627638976
Others,2019-02-28,4782,133896,68842,0.51,4515.68,2321.72,310868378,275181297,652651513
Others,2019-03-31,4780,148180,81652,0.55,3273.01,1803.54,267247915,242196812,574177788
Others,2019-04-30,4830,144900,86547,0.6,3302.82,1972.73,285849227,229799991,577317824
Others,2019-05-31,4829,149699,83975,0.56,3204.22,1797.44,269074741,276011437,604531943
Others,2019-06-30,4830,144900,87653,0.6,3474.96,2102.08,304590905,278866973,649682001
Others,2019-07-31,4818,149358,93903,0.63,3807.53,2393.84,357538519,273098050,697533715
Others,2019-08-31,4814,149234,89435,0.6,3894.54,2333.97,348307847,283731714,705735939
Others,2019-09-30,4795,143850,77251,0.54,3411.59,1832.11,263548816,251537909,579051810
Others,2019-10-31,4735,146785,88205,0.6,3513.89,2111.54,309942961,278764064,662816035
Others,2019-11-30,4735,142050,87108,0.61,3516.82,2156.59,306343256,289113609,697801731
Others,2019-12-31,4735,146785,87108,0.59,3516.82,2087.02,306343256,289113609,670369666
Scenery,2019-01-31,2908,90148,49566,0.55,4784.47,2630.64,237147245,122465139,392187954
Scenery,2019-02-28,2911,81508,49148,0.6,6195.81,3735.97,304511847,127845083,472853270
Scenery,2019-03-31,2909,90179,50567,0.56,4691.15,2630.52,237217375,122322902,390894466
Scenery,2019-04-30,2909,87270,50560,0.58,4914.3,2847.11,248466924,111037367,389172562
Scenery,2019-05-31,2974,92194,48669,0.53,4660.2,2460.11,226807142,112521061,369543819
Scenery,2019-06-30,2974,89220,52856,0.59,5006.32,2965.86,264613988,127759011,428301191
Scenery,2019-07-31,2974,92194,59457,0.64,5851.49,3773.7,347912285,135390527,527633137
Scenery,2019-08-31,2972,92132,58161,0.63,5819.93,3674.0,338492839,134676280,516111410
Scenery,2019-09-30,2980,89400,47042,0.53,5213.05,2743.09,245232363,109483018,386136568
Scenery,2019-10-31,2864,88784,54480,0.61,5209.34,3196.57,283804608,124427056,445575955
Scenery,2019-11-30,2864,85920,54002,0.63,4873.28,3062.93,263166722,132418963,432203623
Scenery,2019-12-31,2864,88784,54002,0.61,4873.28,2964.12,263166722,132418963,432203623
Taichung,2019-01-31,1486,46066,28829,0.63,2598.69,1626.31,74917555,143538320,250204935
Taichung,2019-02-28,1486,41608,23513,0.57,3147.44,1778.64,74005725,112183575,215428885
Taichung,2019-03-31,1486,46066,31924,0.69,2495.51,1729.41,79666798,94943220,208924497
Taichung,2019-04-30,1486,44580,29360,0.66,2495.04,1643.21,73254451,76917570,177100758
