Hotel,Area,Room,Supply,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Demand,Date
雲品溫泉酒店⽇⽉潭,Scenery,211,6330,0.86,7598.00,41478188,24423793,70662485,6552.52,5459,2019-11-30
台北W飯店,Taipei,405,12555,0.85,8523.28,90466146,46597527,154895759,7205.59,10614,2019-07-31
麗尊⼤酒店,Kaohsiung,198,5940,0.61,2220.00,7979333,20053602,29231187,1343.32,3594,2019-11-30
⾼雄福華⼤飯店,Kaohsiung,271,8130,0.85,2228.00,15431079,25659627,45129470,1897.81,6925,2019-11-30
台糖長榮酒店(台南),Others,197,6107,0.86,2376.43,12093673,23669802,37708051,2046.31,5089,2019-12-31
歐華酒店,Taipei,112,3472,0.55,3026.82,5784254,4783128,11884049,1665.97,1911,2019-05-31
台北君悅酒店,Taipei,850,25500,0.69,5904.54,103170032,101554869,229943794,4045.88,17473,2019-09-30
亞都麗緻⼤飯店,Taipei,209,6479,0.80,4158.00,21644695,10782771,36580564,3340.95,5206,2019-03-31
鈺通⼤飯店,Others,120,3720,0.20,1557.00,1178881,6570881,7758737,316.85,757,2019-01-31
長榮桂冠酒店(台中),Taichung,354,10974,0.78,2507.43,21588988,24620209,56638793,1967.29,8610,2019-10-31
豪景⼤酒店,Taipei,209,5852,0.73,2303.00,9873068,2045321,12249669,1687.18,4287,2019-02-28
國王大飯店,Taipei,97,3007,0.64,1573.89,3009275,809548,3884570,1000.76,1912,2019-07-31
美侖⼤飯店,Hualien,343,10633,0.60,1848.00,11793969,9374122,21737145,1109.35,6383,2019-03-31
台南⼤飯店,Others,152,4712,0.57,2129.00,5692980,14965588,22049350,1208.21,2674,2019-01-31
台北凱撒大飯店,Taipei,478,14818,0.95,3908.34,53391788,17362141,75890700,3723.28,13661,2019-12-31
義華酒店,Taipei,149,4470,0.23,4353.00,4553238,163605,8512682,1018.60,1046,2019-04-30
六福客棧,Taipei,230,7130,0.66,1310.42,6208788,7579265,14239439,870.80,4738,2019-07-31
香格⾥拉台北遠東國際⼤飯店,Taipei,420,13020,0.79,6204.00,64201580,64952948,147772355,4930.94,10348,2019-03-31
