Hotel,Area,Room,Demand,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Supply,Date
圓山大飯店,Taipei,500,12315,0.821,3846.375883069427,47368119,66249800,129002865,3157.874599999999,15500,2019-12-31
國賓大飯店,Taipei,316,8978,0.9470464135021097,4020.970594787258,36100274,87329524,131397386,3808.0457805907176,9796,2019-12-31
台北華國大飯店,Taipei,326,8264,0.8449897750511247,3104.178242981607,25652929,10356386,37893932,2622.9988752556237,10106,2019-12-31
華泰王子大飯店,Taipei,216,5736,0.8851851851851852,2940.269874476987,16865388,10463291,29677232,2602.683333333333,6696,2019-12-31
豪景大酒店,Taipei,209,4732,0.7547049441786284,2086.31910397295,9872462,1194972,11330922,1574.5553429027113,6479,2019-12-31
國王大飯店,Taipei,97,2170,0.7457044673539519,1522.994470046083,3304898,950386,4314495,1135.7037800687285,3007,2019-12-31
台北凱撒大飯店,Taipei,478,13661,0.952649930264993,3908.33672498353,53391788,17362141,75890700,3723.276708507671,14818,2019-12-31
康華大飯店,Taipei,215,5182,0.8034108527131782,2542.210922423775,13173737,13340689,27166621,2042.4398449612406,6665,2019-12-31
兄弟大飯店,Taipei,250,6269,0.8358666666666666,3401.037486042431,21321104,40567714,66890993,2842.8138666666664,7750,2019-12-31
三德大飯店,Taipei,287,3684,0.4278745644599303,2008.07111834962,7397734,692215,8622163,859.2025551684088,8897,2019-12-31
亞都麗緻大飯店,Taipei,209,5535,0.8827751196172249,4219.417705510388,23354477,14079187,42435408,3724.7969696969694,6479,2019-12-31
國聯大飯店,Taipei,243,5110,0.700960219478738,2374.027788649707,12131282,1929905,15573253,1664.0990397805217,7533,2019-12-31
台北寒舍喜來登大飯店,Taipei,688,17776,0.8612403100775193,5235.396827182718,93064414,118326902,235210659,4508.934786821705,21328,2019-12-31
老爺大酒店,Taipei,202,5809,0.9585808580858086,5220.102255121364,30323574,26326859,63468953,5003.890099009902,6262,2019-12-31
福華大飯店,Taipei,606,14819,0.8151265126512651,3964.909912949592,58756000,48882000,127475000,3231.903190319032,18786,2019-12-31
台北君悅酒店,Taipei,850,22769,0.8929019607843137,6468.082656243138,147271774,119484883,298525102,5775.363686274511,26350,2019-12-31
西華大飯店,Taipei,343,9141,0.888338192419825,4495.980308500164,41097756,20774271,67760957,3993.951020408163,10633,2019-12-31
晶華酒店,Taipei,538,14625,0.9061338289962825,5681.451145299146,83091223,136897633,274440377,5148.15508054523,16678,2019-12-31
香格里拉台北遠東國際大飯店,Taipei,420,10076,0.7996825396825397,6128.091306073838,61746648,68602367,149323169,4900.527619047618,13020,2019-12-31
神旺大飯店,Taipei,268,7273,0.9046019900497513,2247.162656400385,16343614,28358942,48199568,2032.7878109452738,8308,2019-12-31
美麗信花園酒店,Taipei,203,5485,0.9006568144499179,2319.468915223336,12722287,7522839,26819470,2089.0454844006563,6293,2019-12-31
台北寒舍艾美酒店,Taipei,160,4360,0.9083333333333333,9156.295183486238,39921447,69169968,125613064,8316.968125,4960,2019-12-31
台北W飯店,Taipei,405,11074,0.911440329218107,8921.373487448076,98795290,62894435,181867020,8131.299588477366,12555,2019-12-31
台北萬豪酒店,Taipei,318,9288,0.9735849056603774,6071.867463393626,56395505,81186247,180005322,5911.4785115303985,9858,2019-12-31
台北美福大飯店,Taipei,146,3231,0.7376712328767123,6538.988857938719,21127473,59729744,87061643,4823.62397260274,4526,2019-12-31
亞士都飯店,Taipei,40,597,0.4975,2231.370184254607,1332128,0,1332128,1110.106666666667,1240,2019-12-31
天成大飯店,Taipei,225,6643,0.9841481481481481,3213.675447839832,21348446,24679575,48786819,3162.732740740741,6975,2019-12-31
六福客棧,Taipei,230,5795,0.8398550724637681,1399.323209663503,8109078,7917960,16481851,1175.2286956521739,7130,2019-12-31
第一大飯店,Taipei,176,3970,0.7518939393939394,1629.271536523929,6468208,4632265,30711270,1225.0393939393937,5456,2019-12-31
慶泰大飯店,Taipei,150,3938,0.8751111111111111,2865.913661757237,11285968,6987959,18816461,2507.9928888888885,4650,2019-12-31
洛碁大飯店花華本館,Taipei,112,2912,0.8666666666666667,1766.75103021978,5144779,0,5144779,1531.184226190476,3472,2019-12-31
歐華酒店,Taipei,112,2207,0.6568452380952381,2920.230629814228,6444949,6164469,14050614,1918.1395833333336,3472,2019-12-31
福容大飯店 台北一館,Taipei,120,2439,0.6775,3029.50389503895,7388960,11284085,19929603,2052.4888888888886,3720,2019-12-31
首都大飯店,Taipei,129,2564,0.6625322997416021,2962.920436817473,7596928,2911542,11167844,1963.0304909560725,3999,2019-12-31
台北君品大酒店,Taipei,286,7453,0.8686480186480187,5020.578827317859,37418374,54594858,96785492,4361.1158508158505,8866,2019-12-31
台北花園大酒店,Taipei,241,6928,0.9582295988934993,2317.900837182448,16058417,24425305,44237504,2221.0811894882436,7471,2019-12-31
日勝生加賀屋國際溫泉飯店,Taipei,90,1620,0.6,7657.017283950618,12404368,9678452,29614993,4594.210370370371,2790,2019-12-31
北投麗禧溫泉酒店,Taipei,66,1485,0.75,13615.6962962963,20219309,10857408,39677305,10211.772222222226,2046,2019-12-31
寒舍艾麗酒店,Taipei,235,6167,0.8747517730496454,6405.168315226204,39500673,20597297,66290653,5602.932340425532,7285,2019-12-31
北投老爺酒店,Taipei,50,950,0.6333333333333333,5669.981052631579,5386482,3306981,10162805,3590.988,1550,2019-12-31
台北有園飯店,Taipei,56,1578,0.9392857142857143,2722.664765525982,4296365,319045,4735319,2557.360119047619,1736,2019-12-31
合尊酒店 S Hotel,Taipei,101,2430,0.801980198019802,3738.659259259259,9084942,4017067,14475527,2998.330693069307,3131,2019-12-31
台北中山雅樂軒酒店,Taipei,88,2426,0.918939393939394,4259.814921681781,10334311,745814,12353431,3914.5117424242426,2728,2019-12-31
義華酒店,Taipei,149,2090,0.4675615212527964,3698.301435406699,7729450,138014,9384897,1729.1834451901566,4619,2019-12-31
華園大飯店,Kaohsiung,269,6523,0.8083023543990087,1397.978844090143,9119016,5050710,14854989,1129.9895910780672,8339,2019-12-31
高雄國賓大飯店,Kaohsiung,453,11885,0.8745401030169242,2000.580900294489,23776904,43242187,69260190,1749.5882266372334,14043,2019-12-31
漢來大飯店,Kaohsiung,535,13782,0.8586915887850467,3015.062908141053,41553597,70384885,130354952,2589.009158878504,16585,2019-12-31
高雄福華大飯店,Kaohsiung,271,6925,0.8517835178351784,2228.314657039711,15431079,25659627,45129470,1898.041697416974,8401,2019-12-31
寒軒國際大飯店,Kaohsiung,380,8786,0.7707017543859649,1970.92419758707,17316540,18550114,37010350,1518.9947368421049,11780,2019-12-31
麗尊大酒店,Kaohsiung,198,3594,0.6050505050505051,2220.181691708403,7979333,20053602,29231187,1343.3220538720539,6138,2019-12-31
義大皇家酒店,Kaohsiung,656,11165,0.5673272357723578,2622.0,29274630,21885491,53884863,1487.532012195122,20336,2019-12-31
福容大飯店 高雄,Kaohsiung,250,5140,0.6853333333333333,1726.266536964981,8873010,4903034,13806182,1183.0680000000004,7750,2019-12-31
晶英國際行館,Kaohsiung,147,2012,0.4562358276643991,6175.686878727634,12425482,11618737,27061562,2817.5696145124716,4557,2019-12-31
全國大飯店,Taichung,178,3710,0.6947565543071161,2066.287601078167,7665927,13132711,23006254,1435.5668539325843,5518,2019-12-31
長榮桂冠酒店(台中),Taichung,354,8831,0.8315442561205273,2251.128977465746,19879720,26168736,51832896,1871.9133709981172,10974,2019-12-31
台中福華大飯店,Taichung,155,3319,0.713763440860215,2593.659536004821,8608356,12078917,23614597,1851.2593548387097,4805,2019-12-31
台中金典酒店,Taichung,222,5701,0.856006006006006,2872.061568145939,16373623,23014195,54559824,2458.5019519519515,6882,2019-12-31
海灣藝術酒店,Taichung,226,2909,0.4290560471976401,1415.630113441045,4118068,1439641,5718413,607.3846607669617,7006,2019-12-31
裕元花園酒店,Taichung,149,3944,0.8823266219239374,3142.300202839756,12393232,26948486,44521125,2772.5351230425053,4619,2019-12-31
台中港酒店,Taichung,200,3337,0.5561666666666667,2597.268504644891,8667085,2649427,12160471,1444.514166666667,6200,2019-12-31
花蓮亞士都飯店,Hualien,167,2112,0.4215568862275449,1082.218276515152,2285645,1290327,3590972,456.2165668662676,5177,2019-12-31
花蓮翰品酒店,Hualien,197,4159,0.7037225042301184,2173.607838422698,9040035,11878924,21825145,1529.6167512690356,6107,2019-12-31
美侖大飯店,Hualien,343,5751,0.5588921282798833,2090.803686315423,12024212,12176793,24916437,1168.5337220602523,10633,2019-12-31
遠雄悅來大飯店,Hualien,381,4778,0.4180227471566054,2815.838426119715,13454076,10715512,29352340,1177.0845144356954,11811,2019-12-31
瑞穗天合國際觀光酒店,Hualien,198,3612,0.6080808080808081,6812.135658914729,24605434,12266839,42159372,4142.3289562289565,6138,2019-12-31
晶悅國際飯店,Taoyuan-Hsinchu-Miaoli,383,7843,0.6825935596170584,1679.231289047558,13170211,7059436,21311146,1146.232463011314,11873,2019-12-31
尊爵天際大飯店,Taoyuan-Hsinchu-Miaoli,250,6801,0.9068,2330.749448610498,15851427,26914852,43354256,2113.5235999999995,7750,2019-12-31
南方莊園渡假飯店,Taoyuan-Hsinchu-Miaoli,111,2442,0.7333333333333333,4234.572072072072,10340825,14692294,29798797,3105.3528528528527,3441,2019-12-31
台北諾富特華航桃園機場飯店,Taoyuan-Hsinchu-Miaoli,516,12193,0.7876614987080104,2732.937997211515,33322713,24130904,62870335,2152.6300387596903,15996,2019-12-31
