Hotel,Area,Room,Demand,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Supply,Date
⾸都⼤飯店,Taipei,129,2564,0.6625,2963.0,7596928,2911542,11167844,1962.9875,3870,2019-11-30
國聯⼤飯店,Taipei,243,5110,0.701,2374.0,12131282,1929905,15573253,1664.174,7290,2019-11-30
歐華酒店,Taipei,112,2207,0.6568,2920.0,6444949,6164469,14050614,1917.8560000000002,3360,2019-11-30
福容⼤飯店台北一館,Taipei,120,2439,0.6775,3030.0,7388960,11284085,19929603,2052.825,3600,2019-11-30
圓⼭⼤飯店,Taipei,500,12315,0.821,3846.0,47368119,66249800,129002865,3157.566,15000,2019-11-30
國賓⼤飯店,Taipei,422,8978,0.7092,4021.0,36100274,87329524,131397386,2851.6932,12660,2019-11-30
台北華國⼤飯店,Taipei,326,8264,0.845,3104.0,25652929,10356386,37893932,2622.88,9780,2019-11-30
華泰王⼦⼤飯店,Taipei,216,5736,0.8852,2940.0,16865388,10463291,29677232,2602.488,6480,2019-11-30
國王⼤飯店,Taipei,97,2170,0.7456999999999999,1523.0,3304898,950386,4314495,1135.7010999999998,2910,2019-11-30
豪景⼤酒店,Taipei,209,4732,0.7547,2086.0,9872462,1194972,11330922,1574.3042,6270,2019-11-30
台北凱撒⼤飯店,Taipei,478,13661,0.9526,3908.0,53391788,17362141,75890700,3722.7608,14340,2019-11-30
康華⼤飯店,Taipei,215,5182,0.8034,2542.0,13173737,13340689,27166621,2042.2428,6450,2019-11-30
神旺⼤飯店,Taipei,268,7273,0.9046,2247.0,16343614,28358942,48199568,2032.6362,8040,2019-11-30
兄弟⼤飯店,Taipei,250,6269,0.8359000000000001,3401.0,21321104,40567714,66890993,2842.8959000000004,7500,2019-11-30
三德⼤飯店,Taipei,287,3684,0.4279,2008.0,7397734,692215,8622163,859.2232,8610,2019-11-30
亞都麗緻⼤飯店,Taipei,209,5535,0.8828,4219.0,23354477,14079187,42435408,3724.5332000000003,6270,2019-11-30
台北寒舍喜來登⼤飯店,Taipei,688,17776,0.8612000000000001,5235.0,93064414,118326902,235210659,4508.3820000000005,20640,2019-11-30
老爺⼤酒店,Taipei,202,5809,0.9586,5220.0,30323574,26326859,63468953,5003.892,6060,2019-11-30
福華⼤飯店,Taipei,606,14819,0.8151,3965.0,58756000,48882000,127475000,3231.8715,18180,2019-11-30
台北君悅酒店,Taipei,850,22769,0.8929,6468.0,147271774,119484883,298525102,5775.2772,25500,2019-11-30
晶華酒店,Taipei,538,14625,0.9061,5681.0,83091223,136897633,274440377,5147.5541,16140,2019-11-30
⻄華⼤飯店,Taipei,343,9141,0.8883,4496.0,41097756,20774271,67760957,3993.7968,10290,2019-11-30
香格⾥拉台北遠東國際⼤飯店,Taipei,420,10076,0.7997,6128.0,61746648,68602367,149323169,4900.5616,12600,2019-11-30
美麗信花園酒店,Taipei,203,5485,0.9007,2319.0,12722287,7522839,26819470,2088.7232999999997,6090,2019-11-30
台北寒舍艾美酒店,Taipei,160,4360,0.9083,9156.0,39921447,69169968,125613064,8316.3948,4800,2019-11-30
台北W飯店,Taipei,405,11074,0.9114,8921.0,98795290,62894435,181867020,8130.5994,12150,2019-11-30
台北萬豪酒店,Taipei,318,9288,0.9736,6072.0,56395505,81186247,180005322,5911.6992,9540,2019-11-30
