Hotel,Area,Room,Demand,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Supply,Date
圓山大飯店,Taipei,500,10923,0.7047096774193549,4047.614940950288,44212098,57051561,116212985,2852.393419354839,15500,2019-10-31
國賓大飯店,Taipei,316,6412,0.6545528787260106,3847.333593262632,24669103,71142285,102189505,2518.2832788893425,9796,2019-10-31
台北華國大飯店,Taipei,326,7624,0.7544033247575698,3025.657660020986,23067614,9039233,33987748,2282.5661982980405,10106,2019-10-31
華泰王子大飯店,Taipei,216,4996,0.7461170848267622,2953.523418734988,14755803,9424576,26442325,2203.6742831541214,6696,2019-10-31
豪景大酒店,Taipei,209,4412,0.6809692853835468,2139.784678150499,9440730,678286,10378436,1457.127643154808,6479,2019-10-31
國王大飯店,Taipei,97,2110,0.7016960425673429,1443.847393364929,3046518,848953,3952876,1013.1420019953443,3007,2019-10-31
台北凱撒大飯店,Taipei,478,13182,0.8895937373464705,3825.923380367167,50433322,18689459,73984612,3403.51747874207,14818,2019-10-31
康華大飯店,Taipei,215,4898,0.7348837209302326,2547.56288280931,12477963,12118264,25397184,1872.1624906226557,6665,2019-10-31
兄弟大飯店,Taipei,250,5618,0.7249032258064516,3412.813100747597,19173184,37654398,61264687,2473.9592258064517,7750,2019-10-31
三德大飯店,Taipei,287,3256,0.3659660559739238,2092.005221130221,6811569,556692,8395602,765.6028998538832,8897,2019-10-31
亞都麗緻大飯店,Taipei,209,5110,0.7887019601790399,4202.785127201566,21476232,14380385,40872517,3314.744868035191,6479,2019-10-31
國聯大飯店,Taipei,243,5402,0.7171113766095845,2074.639577934098,11207203,1084170,13603131,1487.7476437010482,7533,2019-10-31
台北寒舍喜來登大飯店,Taipei,688,16017,0.7509846211552889,5092.717550103015,81570057,111859841,216134220,3824.5525600150036,21328,2019-10-31
老爺大酒店,Taipei,202,5726,0.9144043436601724,4991.695948305973,28582451,24227037,59369911,4564.428457361865,6262,2019-10-31
福華大飯店,Taipei,606,13049,0.6946130096880656,3944.516821212354,51472000,41060000,107849000,2739.9127009475146,18786,2019-10-31
台北君悅酒店,Taipei,850,21676,0.822618595825427,6300.60001845359,136571806,115003326,282688571,5182.990740037951,26350,2019-10-31
西華大飯店,Taipei,343,8586,0.8074861280917897,4344.100978336827,37298451,17582339,59998868,3507.80127903696,10633,2019-10-31
