Hotel,Area,Room,Demand,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Supply,Date
圓山大飯店,Taipei,500,9428,0.6285333333333334,3850.809609673313,36305433,50712548,97595589,2420.3622,15000,2019-09-30
國賓大飯店,Taipei,316,6070,0.640295358649789,3695.464744645799,22431471,87200960,115506088,2366.188924050633,9480,2019-09-30
台北華國大飯店,Taipei,326,7385,0.7551124744376279,2838.841976980365,20964848,10429936,33061914,2143.644989775051,9780,2019-09-30
華泰王子大飯店,Taipei,204,4419,0.7220588235294118,2739.796560307762,12107161,9103932,23465006,1978.2942810457516,6120,2019-09-30
豪景大酒店,Taipei,209,2988,0.476555023923445,2097.811914323962,6268262,805845,7339129,999.7228070175437,6270,2019-09-30
國王大飯店,Taipei,97,2431,0.8353951890034365,1525.779103249691,3709169,1096236,4856996,1274.6285223367693,2910,2019-09-30
台北凱撒大飯店,Taipei,478,12192,0.8502092050209205,3530.480971128609,43043624,16431389,64554631,3001.6474198047417,14340,2019-09-30
康華大飯店,Taipei,215,4028,0.6244961240310077,2418.885302879841,9743270,9875858,20314849,1510.5844961240311,6450,2019-09-30
兄弟大飯店,Taipei,250,4216,0.5621333333333334,3508.840132827324,14793270,38010500,57047335,1972.436,7500,2019-09-30
三德大飯店,Taipei,287,2732,0.3173054587688734,1959.974011713031,5354649,365600,8105035,621.9104529616725,8610,2019-09-30
亞都麗緻大飯店,Taipei,209,4186,0.6676236044657097,3864.197563306259,16175531,11477199,33539246,2579.829505582137,6270,2019-09-30
國聯大飯店,Taipei,243,4042,0.5544581618655693,2018.245175655616,8157747,967510,10083660,1119.0325102880659,7290,2019-09-30
台北寒舍喜來登大飯店,Taipei,688,12853,0.6227228682170542,5157.809538629113,66293326,126285944,212963640,3211.885949612403,20640,2019-09-30
老爺大酒店,Taipei,202,5522,0.9112211221122112,4798.824157913799,26499107,30082371,62909665,4372.789933993399,6060,2019-09-30
福華大飯店,Taipei,606,11371,0.6254675467546754,3516.665200949784,39988000,43377000,106173000,2199.559955995599,18180,2019-09-30
台北君悅酒店,Taipei,850,17473,0.6852156862745098,5904.540262118698,103170032,101554869,229943794,4045.8836078431373,25500,2019-09-30
西華大飯店,Taipei,343,6968,0.6771622934888241,4147.836969001148,28902128,19783009,53323470,2808.7587949465496,10290,2019-09-30
晶華酒店,Taipei,538,11331,0.7020446096654275,5633.323801959227,63831192,143905708,283290768,3954.8446096654275,16140,2019-09-30
香格里拉台北遠東國際大飯店,Taipei,420,8323,0.6605555555555556,5579.113180343626,46434959,48767805,109515249,3685.314206349206,12600,2019-09-30
神旺大飯店,Taipei,268,6340,0.7885572139303483,1959.768927444795,12424935,25792551,41098099,1545.3899253731345,8040,2019-09-30
美麗信花園酒店,Taipei,203,5061,0.8310344827586207,2077.851017585458,10516004,6291881,22775175,1726.765845648605,6090,2019-09-30
台北寒舍艾美酒店,Taipei,160,3659,0.7622916666666667,8105.644165072425,29658552,49759273,92723907,6178.865000000001,4800,2019-09-30
台北W飯店,Taipei,405,9999,0.822962962962963,8111.232423242324,81104213,48429063,146819667,6675.2438683127575,12150,2019-09-30
台北萬豪酒店,Taipei,318,7637,0.8005241090146751,5661.0,43233057,57488174,137958580,4531.766981132076,9540,2019-09-30
台北美福大飯店,Taipei,146,2605,0.5947488584474886,6196.919769673705,16142976,45308692,65626001,3685.61095890411,4380,2019-09-30
亞士都飯店,Taipei,40,297,0.2475,2345.585858585859,696639,0,696639,580.5325000000001,1200,2019-09-30
天成大飯店,Taipei,226,6327,0.9331858407079646,2904.156788367315,18374600,30119526,51097640,2710.1179941002956,6780,2019-09-30
六福客棧,Taipei,230,5162,0.7481159420289855,1390.298140255715,7176719,6554142,14172078,1040.1042028985507,6900,2019-09-30
第一大飯店,Taipei,176,2743,0.5195075757575758,1629.773605541378,4470469,2473014,26608926,846.6797348484848,5280,2019-09-30
