Hotel,Area,Room,Demand,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Supply,Date
圓山大飯店,Taipei,473,9671,0.659551251449226,2525.099059042498,24420233,49957510,87797283,1665.4322444247425,14663,2020-08-31
國賓大飯店,Taipei,422,2766,0.2114355603118789,1939.053145336225,5363421,66366900,76906325,409.9847882586759,13082,2020-08-31
台北華國大飯店,Taipei,326,3766,0.3726499109439937,2244.535581518853,8452921,12158610,21429599,836.4259845636258,10106,2020-08-31
華泰王子大飯店,Taipei,220,1425,0.2089442815249267,1397.317894736842,1991178,10235530,14557901,291.9615835777126,6820,2020-08-31
豪景大酒店,Taipei,209,96,0.01481710140453774,2389.322916666667,229375,0,575391,35.402839944435875,6479,2020-08-31
國王大飯店,Taipei,97,72,0.02394413036248753,2157.111111111111,155312,191757,394271,51.65014965081476,3007,2020-08-31
台北凱撒大飯店,Taipei,478,8345,0.5631664192198678,2015.834032354703,16822135,17611244,38678571,1135.250033742745,14818,2020-08-31
康華大飯店,Taipei,215,595,0.08927231807951988,1755.55462184874,1044555,7358230,8993763,156.72243060765194,6665,2020-08-31
兄弟大飯店,Taipei,250,982,0.1267096774193548,3019.109979633401,2964766,40594008,48595458,382.5504516129031,7750,2020-08-31
三德大飯店,Taipei,287,2021,0.2271552208609644,1427.190004948045,2884351,259415,11159331,324.1936607845341,8897,2020-08-31
亞都麗緻大飯店,Taipei,209,2656,0.409939805525544,2336.067394578313,6204595,13576376,23196427,957.6470134279978,6479,2020-08-31
國聯大飯店,Taipei,243,2548,0.3382450550909332,1414.488618524333,3604117,658007,4710221,478.4437806982611,7533,2020-08-31
台北寒舍喜來登大飯店,Taipei,688,7565,0.3546980495123781,3125.970654329147,23647968,78215749,116050170,1108.7756939234807,21328,2020-08-31
老爺大酒店,Taipei,202,3267,0.5217183008623443,2263.7560453015,7395691,20579395,32389673,1181.0429575215585,6262,2020-08-31
福華大飯店,Taipei,606,5691,0.3029383583519643,2527.499560709893,14384000,32424000,59891000,765.676567656766,18786,2020-08-31
台北君悅酒店,Taipei,850,5091,0.1932068311195446,4440.36436849342,22605895,74651344,111561237,857.9087286527515,26350,2020-08-31
西華大飯店,Taipei,343,10633,1.0,655.8515000470234,6973669,13742621,23807028,655.8515000470234,10633,2020-08-31
晶華酒店,Taipei,538,9909,0.5941359875284806,4110.658593198103,40732516,127061957,220374317,2442.2902026621896,16678,2020-08-31
香格里拉台北遠東國際大飯店,Taipei,420,4118,0.3162826420890937,4370.657843613404,17998369,40378550,68351930,1382.3632104454682,13020,2020-08-31
神旺大飯店,Taipei,268,261,0.03141550312951372,2555.436781609195,666969,22085024,24078322,80.28033220991813,8308,2020-08-31
美麗信花園酒店,Taipei,203,3310,0.525981249006833,1193.444108761329,3950300,3303790,10600115,627.7292229461304,6293,2020-08-31
台北寒舍艾美酒店,Taipei,160,1577,0.3179435483870968,5569.77108433735,8783529,47296380,62447861,1770.872782258065,4960,2020-08-31
台北W飯店,Taipei,405,4249,0.3384309040223019,5969.624852906566,25364936,27080262,59099844,2020.3055356431703,12555,2020-08-31
台北萬豪酒店,Taipei,318,3964,0.4021099614526273,4235.870837537841,16790992,44654995,85503945,1703.2858592006494,9858,2020-08-31
台北美福大飯店,Taipei,146,1915,0.4231109147149801,4453.363968668407,8528192,57782908,70677571,1884.2669023420237,4526,2020-08-31
亞士都飯店,Taipei,40,154,0.1241935483870968,2262.006493506493,348349,0,348349,280.9266129032258,1240,2020-08-31
天成大飯店,Taipei,225,3131,0.4488888888888889,1735.634940913446,5434273,18288786,25686933,779.107240143369,6975,2020-08-31
六福客棧,Taipei,230,3539,0.4963534361851332,1727.797400395592,6114675,0,6811489,857.5981767180925,7130,2020-08-31
第一大飯店,Taipei,176,793,0.1453445747800587,1204.262295081967,954980,3490010,23460499,175.03299120234607,5456,2020-08-31
慶泰大飯店,Taipei,150,0,0.0,,0,2129061,2394585,,4650,2020-08-31
歐華酒店,Taipei,112,349,0.1005184331797235,2577.776504297994,899644,4840786,6361765,259.11405529953913,3472,2020-08-31
福容大飯店 台北一館,Taipei,120,501,0.1346774193548387,2611.770459081836,1308497,5594764,7525431,351.74650537634403,3720,2020-08-31
首都大飯店,Taipei,129,1651,0.4128532133033258,1643.417322834646,2713282,2542635,5792434,678.4901225306328,3999,2020-08-31
台北君品大酒店,Taipei,286,2303,0.2597563726595984,2856.919669995658,6579486,44682411,54960398,742.1030904579289,8866,2020-08-31
台北花園大酒店,Taipei,241,2840,0.3801365279079106,1247.337676056338,3542439,16766787,22537215,474.1586133047785,7471,2020-08-31
