Hotel,Area,Room,Demand,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Supply,Date
圓⼭⼤飯店,Taipei,500,4303,0.2968,3581.0,15407007,21302809,43011231,1062.8408,14500,2020-02-29
國賓⼤飯店,Taipei,422,4586,0.3747,3374.0,15470969,50228203,70427005,1264.2377999999999,12238,2020-02-29
台北華國⼤飯店,Taipei,326,5154,0.5452,2749.0,14168995,10015966,25867568,1498.7548000000002,9454,2020-02-29
華泰王⼦⼤飯店,Taipei,211,2046,0.3344,2672.0,5466694,7152803,14341241,893.5168,6119,2020-02-29
國王⼤飯店,Taipei,97,1203,0.4277,1496.0,1799929,557543,2407204,639.8392,2813,2020-02-29
豪景⼤酒店,Taipei,209,1843,0.3041,1872.0,3451013,715156,4415164,569.2751999999999,6061,2020-02-29
台北凱撒⼤飯店,Taipei,478,5479,0.3953,3562.0,19516713,8290830,32535547,1408.0585999999998,13862,2020-02-29
康華⼤飯店,Taipei,215,1796,0.28809999999999997,2503.0,4496047,5420655,10381039,721.1143,6235,2020-02-29
神旺⼤飯店,Taipei,268,1025,0.1319,3059.0,3135713,19121208,23788337,403.48209999999995,7772,2020-02-29
兄弟⼤飯店,Taipei,250,1977,0.2727,3325.0,6573248,27654813,37355648,906.7275,7250,2020-02-29
三德⼤飯店,Taipei,287,1231,0.1479,1980.0,2436947,89508,5459952,292.842,8323,2020-02-29
亞都麗緻⼤飯店,Taipei,209,2054,0.3389,3819.0,7843225,9748340,20659843,1294.2591,6061,2020-02-29
國聯⼤飯店,Taipei,243,923,0.131,2154.0,1988109,357451,2608537,282.17400000000004,7047,2020-02-29
台北寒舍喜來登⼤飯店,Taipei,688,6079,0.30469999999999997,4623.0,28104343,61067046,101712698,1408.6281,19952,2020-02-29
老爺⼤酒店,Taipei,202,2857,0.4877,4494.0,12838319,14802727,32235803,2191.7238,5858,2020-02-29
福華⼤飯店,Taipei,606,4012,0.22829999999999998,3410.0,13681000,20936000,46994000,778.5029999999999,17574,2020-02-29
台北君悅酒店,Taipei,850,5468,0.2218,5306.0,29013822,51604315,94070765,1176.8708,24650,2020-02-29
晶華酒店,Taipei,538,6215,0.3983,5337.0,33170701,87228021,161829207,2125.7271,15602,2020-02-29
⻄華⼤飯店,Taipei,343,2496,0.2509,4290.0,10707515,10583339,23697264,1076.361,9947,2020-02-29
香格⾥拉台北遠東國際⼤飯店,Taipei,420,3339,0.2741,5235.0,17481119,27270953,52845797,1434.9135,12180,2020-02-29
美麗信花園酒店,Taipei,203,2715,0.4612,1704.0,4626731,3098914,11153542,785.8848,5887,2020-02-29
台北寒舍艾美酒店,Taipei,160,1273,0.27440000000000003,7121.0,9064631,26604677,42729803,1954.0024000000003,4640,2020-02-29
台北W飯店,Taipei,405,2506,0.2134,7791.0,19523352,17897528,42704839,1662.5994,11745,2020-02-29
台北萬豪酒店,Taipei,318,2291,0.2484,5265.0,12061741,28377915,48863410,1307.826,9222,2020-02-29
台北美福⼤飯店,Taipei,73,895,0.4228,6046.0,5411585,31128374,40308512,2556.2488,2117,2020-02-29
亞⼠都飯店,Taipei,40,242,0.2086,2280.0,551728,0,551728,475.608,1160,2020-02-29
第一⼤飯店,Taipei,176,1380,0.2704,1671.0,2306004,3092562,24742635,451.8384,5104,2020-02-29
六福客棧,Taipei,230,2668,0.4,1408.0,3756444,6114671,10392635,563.2,6670,2020-02-29
洛碁⼤飯店花華本館,Taipei,112,1676,0.516,1792.0,3003849,0,3003849,924.672,3248,2020-02-29
義華酒店,Taipei,149,101,0.023399999999999997,4558.0,460358,147882,2899531,106.65719999999999,4321,2020-02-29
歐華酒店,Taipei,112,594,0.18289999999999998,2958.0,1757175,3898077,6291793,541.0182,3248,2020-02-29
慶泰⼤飯店,Taipei,150,1218,0.28,2822.0,3437165,4092501,7878098,790.1600000000001,4350,2020-02-29
天成⼤飯店,Taipei,225,4221,0.6469,2913.0,12294649,11137395,24666567,1884.4197000000001,6525,2020-02-29
福容⼤飯店台北一館,Taipei,120,512,0.1471,2756.0,1410966,5178456,7164688,405.4076,3480,2020-02-29
⾸都⼤飯店,Taipei,129,671,0.1794,2761.0,1852334,881483,3254604,495.3234,3741,2020-02-29
台北君品⼤酒店,Taipei,286,3226,0.389,4203.0,13559785,34433274,50848105,1634.967,8294,2020-02-29
台北花園⼤酒店,Taipei,241,2758,0.3946,2218.0,6116114,12280407,20301516,875.2228,6989,2020-02-29
⽇勝⽣加賀屋國際溫泉飯店,Taipei,90,1110,0.4253,7046.0,7820982,6576931,20575575,2996.6638000000003,2610,2020-02-29
北投麗禧溫泉酒店,Taipei,66,724,0.37829999999999997,15151.0,10969187,4754539,22708542,5731.623299999999,1914,2020-02-29
寒舍艾麗酒店,Taipei,235,1217,0.17859999999999998,5361.0,6524669,5412866,13575835,957.4745999999999,6815,2020-02-29
北投老爺酒店,Taipei,50,519,0.3579,7057.0,3662724,2616785,7038580,2525.7003,1450,2020-02-29
台北有園飯店,Taipei,56,459,0.2826,2896.0,1329440,0,1661606,818.4096000000001,1624,2020-02-29
合尊酒店,Taipei,101,1041,0.3554,3031.0,3155515,1702192,5406117,1077.2174,2929,2020-02-29
台北中⼭雅樂軒酒店,Taipei,88,822,0.3221,4940.0,4060858,384329,4983377,1591.174,2552,2020-02-29
華園⼤飯店,Kaohsiung,269,2463,0.3157,1680.0,4137691,1464913,6310467,530.376,7801,2020-02-29
⾼雄國賓⼤飯店,Kaohsiung,453,5356,0.4077,2077.0,11124720,27331902,39698736,846.7929,13137,2020-02-29
漢來⼤飯店,Kaohsiung,535,6017,0.38780000000000003,2796.0,16824872,44412937,72364512,1084.2888,15515,2020-02-29
⾼雄福華⼤飯店,Kaohsiung,271,3298,0.41960000000000003,2317.0,7641943,12953423,22785705,972.2132,7859,2020-02-29
寒軒國際⼤飯店,Kaohsiung,380,3089,0.2803,1965.0,6069201,8963522,15764521,550.7895,11020,2020-02-29
麗尊⼤酒店,Kaohsiung,188,1794,0.32909999999999995,2192.0,3933003,10948953,15514342,721.3871999999999,5452,2020-02-29
義⼤皇家酒店,Kaohsiung,656,4683,0.2462,2709.0,12686247,11797157,26554587,666.9558,19024,2020-02-29
晶英國際⾏館,Kaohsiung,147,697,0.1635,6890.0,4802226,8579256,14887126,1126.515,4263,2020-02-29
福容⼤飯店⾼雄,Kaohsiung,250,1836,0.2532,2064.0,3789255,1378357,5174393,522.6048,7250,2020-02-29
全國⼤飯店,Taichung,178,2046,0.39640000000000003,1974.0,4038283,5636507,11209187,782.4936,5162,2020-02-29
⻑榮桂冠酒店(台中),Taichung,354,4932,0.4804,2215.0,10926828,13185257,26987966,1064.086,10266,2020-02-29
台中福華⼤飯店,Taichung,155,1802,0.40090000000000003,2546.0,4587730,5543509,11273804,1020.6914,4495,2020-02-29
台中⾦典酒店,Taichung,222,2636,0.4094,2854.0,7524240,8617315,22849415,1168.4276,6438,2020-02-29
海灣藝術酒店,Taichung,226,787,0.1201,1572.0,1237452,415820,1685818,188.7972,6554,2020-02-29
裕元花園酒店,Taichung,149,2164,0.5008,2845.0,6157639,14579645,24125170,1424.776,4321,2020-02-29
台中港酒店,Taichung,200,2182,0.3762,2573.0,5613619,815024,6999402,967.9626,5800,2020-02-29
花蓮亞⼠都飯店,Hualien,167,959,0.198,1479.0,1418649,690000,2132654,292.84200000000004,4843,2020-02-29
花蓮翰品酒店,Hualien,197,4384,0.7674,2336.0,10241372,5863344,16607896,1792.6463999999999,5713,2020-02-29
美侖⼤飯店,Hualien,343,2594,0.2608,2436.0,6318578,3548434,10244283,635.3087999999999,9947,2020-02-29
遠雄悅來⼤飯店,Hualien,381,5317,0.48119999999999996,3023.0,16072973,9806063,30924494,1454.6676,11049,2020-02-29
