Hotel,Area,Room,Demand,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Supply,Date
圓⼭⼤飯店,Taipei,500,10667,0.6881999999999999,3923.0,41850353,76393973,131547661,2699.8086,15500,2020-01-31
國賓⼤飯店,Taipei,422,7466,0.5707,3647.0,27229634,119806163,157208363,2081.3429,13082,2020-01-31
台北華國⼤飯店,Taipei,326,6548,0.6479,2936.0,19225152,28196247,49845151,1902.2344,10106,2020-01-31
華泰王⼦⼤飯店,Taipei,212,3092,0.4705,2753.0,8511853,17092363,28374158,1295.2865,6572,2020-01-31
國王⼤飯店,Taipei,97,1434,0.4769,1818.0,2606300,630428,3286713,867.0042,3007,2020-01-31
豪景⼤酒店,Taipei,209,4180,0.6452,2289.0,9568929,3233447,13083325,1476.8627999999999,6479,2020-01-31
台北凱撒⼤飯店,Taipei,478,10628,0.7172,4076.0,43319635,30856972,77021469,2923.3071999999997,14818,2020-01-31
康華⼤飯店,Taipei,215,2849,0.4275,2580.0,7351665,16617738,25373315,1102.95,6665,2020-01-31
神旺⼤飯店,Taipei,268,6048,0.728,2607.0,15769951,47315247,68292805,1897.896,8308,2020-01-31
兄弟⼤飯店,Taipei,250,4692,0.6053999999999999,3468.0,16270967,65909030,88955017,2099.5272,7750,2020-01-31
三德⼤飯店,Taipei,287,2543,0.2858,2295.0,5836843,427245,7273263,655.911,8897,2020-01-31
亞都麗緻⼤飯店,Taipei,209,4172,0.6439,4082.0,17030812,21325739,46279942,2628.3998,6479,2020-01-31
國聯⼤飯店,Taipei,243,3361,0.4462,2323.0,7808927,1815831,10643397,1036.5226,7533,2020-01-31
台北寒舍喜來登⼤飯店,Taipei,688,13107,0.6145,4829.0,63292847,147921618,234399860,2967.4205,21328,2020-01-31
老爺⼤酒店,Taipei,202,5142,0.8210999999999999,4777.0,24563446,46598049,78002785,3922.3947,6262,2020-01-31
福華⼤飯店,Taipei,606,9569,0.5094,4002.0,38298000,80955000,137868000,2038.6188,18786,2020-01-31
台北君悅酒店,Taipei,850,16405,0.6225999999999999,6031.0,98944277,125793598,254434031,3754.9005999999995,26350,2020-01-31
晶華酒店,Taipei,538,12428,0.7452,5961.0,74087190,196615634,328566554,4442.1372,16678,2020-01-31
⻄華⼤飯店,Taipei,343,7404,0.6962999999999999,4310.0,31908855,25824358,63674142,3001.0529999999994,10633,2020-01-31
香格⾥拉台北遠東國際⼤飯店,Taipei,420,7736,0.5942000000000001,6243.0,48294113,80181886,146109525,3709.5906000000004,13020,2020-01-31
美麗信花園酒店,Taipei,203,4319,0.6862999999999999,2197.0,9487208,7520101,22477404,1507.8011,6293,2020-01-31
台北寒舍艾美酒店,Taipei,160,3245,0.6542,9031.0,29306252,84231484,130726093,5908.0802,4960,2020-01-31
台北W飯店,Taipei,405,8691,0.6922,8826.0,76705765,69996870,164471272,6109.3572,12555,2020-01-31
台北萬豪酒店,Taipei,318,7061,0.7162999999999999,5386.0,38029331,95751047,159712656,3857.9918,9858,2020-01-31
台北美福⼤飯店,Taipei,146,2720,0.601,6851.0,18633800,93236212,120180058,4117.451,4526,2020-01-31
亞⼠都飯店,Taipei,40,274,0.221,2280.0,624806,0,624806,503.88,1240,2020-01-31
第一⼤飯店,Taipei,176,3016,0.5528,1625.0,4899747,3587320,27984442,898.3,5456,2020-01-31
六福客棧,Taipei,230,4796,0.6727,1462.0,7011241,10102588,17730644,983.4874,7130,2020-01-31
洛碁⼤飯店花華本館,Taipei,112,2603,0.7497,1937.0,5041554,0,5041554,1452.1689000000001,3472,2020-01-31
義華酒店,Taipei,149,653,0.1414,4336.0,2831408,221080,8582531,613.1104,4619,2020-01-31
歐華酒店,Taipei,112,1103,0.3177,3405.0,3755558,6137198,10924046,1081.7685,3472,2020-01-31
慶泰⼤飯店,Taipei,150,2999,0.6448999999999999,2957.0,8869239,10310775,19650154,1906.9692999999997,4650,2020-01-31
天成⼤飯店,Taipei,225,6037,0.8654999999999999,3271.0,19744921,47464057,72142437,2831.0505,6975,2020-01-31
福容⼤飯店台北一館,Taipei,120,1392,0.37420000000000003,3100.0,4315120,17250493,23578466,1160.0200000000002,3720,2020-01-31
⾸都⼤飯店,Taipei,129,1602,0.4006,3193.0,5115643,3343012,9102926,1279.1158,3999,2020-01-31
台北君品⼤酒店,Taipei,286,6530,0.7365,4997.0,32629081,59637845,97458669,3680.2905,8866,2020-01-31
台北花園⼤酒店,Taipei,241,6425,0.86,2552.0,16397743,29927856,50418930,2194.72,7471,2020-01-31
