Hotel,Area,Room,Demand,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Supply,Date
圓山大飯店,Taipei,473,6817,0.4649116824660711,2622.220918292504,17875680,40955749,71812142,1219.101138921094,14663,2020-07-31
國賓大飯店,Taipei,422,3476,0.2657086072465984,1623.800057537399,5644329,63413771,74184436,431.45765173520863,13082,2020-07-31
台北華國大飯店,Taipei,326,1095,0.1083514743716604,1608.34703196347,1761140,13708286,16649792,174.266772214526,10106,2020-07-31
華泰王子大飯店,Taipei,220,1410,0.2067448680351906,1238.325531914894,1746039,8284034,12047564,256.017448680352,6820,2020-07-31
豪景大酒店,Taipei,209,7,0.001080413644080877,2532.142857142857,17725,0,454725,2.7357616916190777,6479,2020-07-31
國王大飯店,Taipei,97,32,0.01064183571666112,2255.40625,72173,174599,293841,24.001662786830718,3007,2020-07-31
台北凱撒大飯店,Taipei,478,5235,0.3532865433931704,2027.297421203438,10612902,15805590,30925276,716.2168983668508,14818,2020-07-31
康華大飯店,Taipei,215,361,0.0541635408852213,1757.005540166205,634279,7134881,8497930,95.16564141035259,6665,2020-07-31
兄弟大飯店,Taipei,250,712,0.09187096774193548,2980.070224719101,2121810,37257935,43929142,273.78193548387094,7750,2020-07-31
三德大飯店,Taipei,287,2675,0.3006631448802967,1109.23214953271,2967196,206757,7450617,333.50522648083614,8897,2020-07-31
亞都麗緻大飯店,Taipei,209,1881,0.2903225806451613,2614.97288676236,4918764,12121760,20228893,759.1856768019755,6479,2020-07-31
國聯大飯店,Taipei,243,1983,0.2632417363600159,1429.243066061523,2834189,577669,3772061,376.2364263905482,7533,2020-07-31
台北寒舍喜來登大飯店,Taipei,688,6006,0.2816016504126032,3033.458874458875,18218954,82887164,115489635,854.2270255063769,21328,2020-07-31
老爺大酒店,Taipei,202,2191,0.3498882146279144,2589.842081241442,5674344,18795923,28651511,906.1552219738102,6262,2020-07-31
福華大飯店,Taipei,606,4383,0.2333120408815075,2416.934747889573,10593425,29054736,52799771,563.899978707548,18786,2020-07-31
台北君悅酒店,Taipei,850,3594,0.1363946869070209,4950.740678909293,17792962,64909432,96277426,675.254724857685,26350,2020-07-31
西華大飯店,Taipei,343,2607,0.2451800996896454,2203.180667433832,5743692,12510121,20693116,540.1760556757264,10633,2020-07-31
晶華酒店,Taipei,538,6645,0.3984290682336011,4001.226636568849,26588151,134162936,208748044,1594.205000599592,16678,2020-07-31
香格里拉台北遠東國際大飯店,Taipei,420,2486,0.190937019969278,4694.266693483508,11669947,36048822,56417657,896.3092933947772,13020,2020-07-31
神旺大飯店,Taipei,268,218,0.02623976889744824,2699.51376146789,588494,21716546,23616338,70.83461723639866,8308,2020-07-31
美麗信花園酒店,Taipei,203,2377,0.3777212776100429,1244.589398401346,2958389,2936389,8837678,470.1078976640711,6293,2020-07-31
台北寒舍艾美酒店,Taipei,160,1717,0.3461693548387097,5203.132207338381,8933778,42594270,57537940,1801.1649193548387,4960,2020-07-31
台北W飯店,Taipei,405,3347,0.2665870171246515,5930.197789064834,19848372,25205223,51270464,1580.9137395459973,12555,2020-07-31
台北萬豪酒店,Taipei,318,3768,0.3822276323797931,4709.60695329087,17745799,42754035,76830461,1800.14191519578,9858,2020-07-31
台北美福大飯店,Taipei,146,1139,0.2516570923552806,4690.5601404741,5342548,49560295,59907386,1180.4127264692886,4526,2020-07-31
亞士都飯店,Taipei,40,129,0.1040322580645161,2265.68992248062,292274,0,292274,235.70483870967738,1240,2020-07-31
天成大飯店,Taipei,225,1526,0.2187813620071685,1772.447575360419,2704755,21199416,26109874,387.7784946236559,6975,2020-07-31
六福客棧,Taipei,230,3460,0.485273492286115,1372.367052023121,4748390,0,5706441,665.9733520336604,7130,2020-07-31
第一大飯店,Taipei,176,352,0.06451612903225806,1304.877840909091,459317,3453854,18553370,84.18566715542522,5456,2020-07-31
慶泰大飯店,Taipei,150,0,0.0,,0,829260,1071543,,4650,2020-07-31
歐華酒店,Taipei,112,318,0.09158986175115208,2296.845911949686,730397,4129545,5364608,210.36779953917056,3472,2020-07-31
福容大飯店 台北一館,Taipei,120,516,0.1387096774193548,2608.00968992248,1345733,7053244,9217838,361.75618279569875,3720,2020-07-31
首都大飯店,Taipei,129,601,0.1502875718929732,2098.397670549085,1261137,1635530,3412231,315.3630907726931,3999,2020-07-31
台北君品大酒店,Taipei,286,2013,0.2270471464019851,2855.615996025832,5748355,43448219,53031264,648.3594631175275,8866,2020-07-31
台北花園大酒店,Taipei,241,2049,0.274260473832151,1524.102489019034,3122886,15121045,20177760,418.00107080712104,7471,2020-07-31
日勝生加賀屋國際溫泉飯店,Taipei,90,1394,0.4996415770609319,5419.797704447633,7555198,6894898,16975696,2707.9562724014336,2790,2020-07-31
北投麗禧溫泉酒店,Taipei,66,637,0.3113391984359726,13064.35949764521,8321997,4059273,15991054,4067.447214076245,2046,2020-07-31
寒舍艾麗酒店,Taipei,235,4412,0.6056280027453672,3378.81029011786,14907311,10469779,28307881,2046.3021276595744,7285,2020-07-31
北投老爺酒店,Taipei,50,870,0.5612903225806452,3622.314942528736,3151414,3187159,7568296,2033.1703225806455,1550,2020-07-31
台北有園飯店,Taipei,56,510,0.2937788018433179,2307.201960784314,1176673,0,1734067,677.8070276497695,1736,2020-07-31
合尊酒店,Taipei,101,2001,0.6390929415522197,3056.091954022988,6115240,2765217,9800456,1953.1267965506224,3131,2020-07-31
台北中山雅樂軒酒店,Taipei,88,1380,0.5058651026392962,1886.873913043478,2603886,779386,3727090,954.5036656891494,2728,2020-07-31
義華酒店,Taipei,149,803,0.1738471530634337,2785.0,2236355,133588,2550172,484.16432128166286,4619,2020-07-31
華園大飯店,Kaohsiung,269,3894,0.4669624655234441,1600.429121725732,6232071,2670341,9393913,747.3403285765681,8339,2020-07-31
高雄國賓大飯店,Kaohsiung,453,8253,0.5876949369792779,2259.674906094754,18649097,29722975,49696451,1327.9995015310121,14043,2020-07-31
漢來大飯店,Kaohsiung,535,8594,0.5181790774796503,2861.194903420992,24589109,64558153,105680219,1482.6113355441669,16585,2020-07-31
高雄福華大飯店,Kaohsiung,271,4636,0.5518390667777645,2279.312769628991,10566894,16737021,30442497,1257.8138316867041,8401,2020-07-31
寒軒國際大飯店,Kaohsiung,380,4358,0.3699490662139219,1898.651216154199,8274322,9864610,19044214,702.404244482173,11780,2020-07-31
麗尊大酒店,Kaohsiung,188,1836,0.3150308853809197,2379.76688453159,4369252,8923874,13974972,749.7000686341798,5828,2020-07-31
義大皇家酒店,Kaohsiung,656,13005,0.639506294256491,3053.749173394848,39714008,23656449,67557555,1952.8918174665619,20336,2020-07-31
福容大飯店 高雄,Kaohsiung,250,4032,0.520258064516129,2218.907490079365,8946635,2948532,11917303,1154.4045161290321,7750,2020-07-31
晶英國際行館,Kaohsiung,147,1417,0.3109501865262234,7322.731827805223,10376311,14404688,27432786,2277.0048277375467,4557,2020-07-31
全國大飯店,Taichung,178,2341,0.4242479159115621,2135.439555745408,4999064,8037670,16528143,905.9557810801014,5518,2020-07-31
長榮桂冠酒店(台中),Taichung,354,8294,0.7557864042281757,2044.012780323125,16953042,20075137,41696220,1544.8370694368507,10974,2020-07-31
台中福華大飯店,Taichung,155,3468,0.7217481789802289,2558.078143021914,8871415,7410175,19305772,1846.288241415192,4805,2020-07-31
台中金典酒店,Taichung,222,4931,0.7165068294100552,2875.851551409451,14180824,15869591,38928446,2060.567276954374,6882,2020-07-31
海灣藝術酒店,Taichung,226,243,0.03468455609477591,1553.555555555556,377514,0,392539,53.884384813017434,7006,2020-07-31
裕元花園酒店,Taichung,149,3319,0.7185537995237065,2978.920759264839,9887038,25738551,40472097,2140.5148300497945,4619,2020-07-31
台中港酒店,Taichung,200,4765,0.7685483870967742,2660.25204616999,12676101,2139439,15580157,2044.5324193548392,6200,2020-07-31
花蓮亞士都飯店,Hualien,167,3823,0.7384585667374928,1334.030865812189,5100000,2000000,7164081,985.1265211512456,5177,2020-07-31
花蓮翰品酒店,Hualien,197,5059,0.828393646635009,3375.974303221981,17079054,9996796,27719833,2796.6356639921405,6107,2020-07-31
美侖大飯店,Hualien,343,6492,0.6105520549233519,2269.912661737523,14736273,5749249,21070394,1385.89984012038,10633,2020-07-31
遠雄悅來大飯店,Hualien,381,11252,0.9526712386758107,3578.32598649129,40263324,21969203,74279743,3408.9682499365,11811,2020-07-31
瑞穗天合國際觀光酒店,Hualien,198,5617,0.9151189312479635,7212.674915435286,40513595,22638742,73909811,6600.455360052134,6138,2020-07-31
尊爵天際大飯店,Taoyuan-Hsinchu-Miaoli,250,1321,0.1704516129032258,2150.75170325511,2841143,17159534,20136556,366.5990967741936,7750,2020-07-31
南方莊園渡假飯店,Taoyuan-Hsinchu-Miaoli,111,2348,0.6823597791339727,3053.25,7169031,11957069,23934619,2083.4149956408023,3441,2020-07-31
台北諾富特華航桃園機場飯店,Taoyuan-Hsinchu-Miaoli,516,3178,0.1986746686671668,2981.78036500944,9476098,7356671,18949475,592.4042260565142,15996,2020-07-31
桃園喜來登酒店,Taoyuan-Hsinchu-Miaoli,190,1662,0.2821731748726655,1633.228640192539,2714426,7973898,11721334,460.853310696095,5890,2020-07-31
名人堂花園大飯店,Taoyuan-Hsinchu-Miaoli,128,2458,0.6194556451612904,5125.107811228641,12597515,19782332,40559612,3174.776965725807,3968,2020-07-31
和逸飯店桃園青埔館,Taoyuan-Hsinchu-Miaoli,218,405,0.05992897306895531,3347.535802469136,1355752,1931646,3605768,200.61438295353653,6758,2020-07-31
新竹喜來登大飯店,Taoyuan-Hsinchu-Miaoli,386,5290,0.4420859100785559,2833.747069943289,14990522,24575127,44711783,1252.75965234832,11966,2020-07-31
新竹老爺大酒店,Taoyuan-Hsinchu-Miaoli,208,3370,0.5226426799007444,2755.330267062315,9285463,10804806,21355882,1440.0531947890822,6448,2020-07-31
新竹國賓大飯店,Taoyuan-Hsinchu-Miaoli,257,4486,0.5630726747834819,2314.297146678556,10381937,27788338,41143101,1303.1174846240747,7967,2020-07-31
尊爵大飯店,Taoyuan-Hsinchu-Miaoli,231,128,0.01787459851975981,1726.9375,221048,8449890,9338078,30.868314481217705,7161,2020-07-31
古華花園飯店,Taoyuan-Hsinchu-Miaoli,255,5110,0.6464263124604681,1357.651859099804,6937601,20416734,28752331,877.6218848829852,7905,2020-07-31
福容大飯店 桃園,Taoyuan-Hsinchu-Miaoli,182,1393,0.2468982630272953,2238.447236180904,3118157,3409444,6812684,552.668734491315,5642,2020-07-31
福容大飯店 林口,Taoyuan-Hsinchu-Miaoli,149,1138,0.2463736739554016,2543.005272407733,2893940,1283812,4188665,626.5295518510501,4619,2020-07-31
豐邑喜來登大飯店,Taoyuan-Hsinchu-Miaoli,384,1323,0.1111391129032258,2832.675736961451,3747630,3097418,7435631,314.8210685483871,11904,2020-07-31
馥藝金鬱金香酒店,Taoyuan-Hsinchu-Miaoli,191,3204,0.5411248099983111,2215.29088639201,7097792,4356184,11630753,1198.7488599898668,5921,2020-07-31
陽明山中國麗緻大飯店,Scenery,47,489,0.335621139327385,3717.19836400818,1817710,2448818,6139709,1247.570350034317,1457,2020-07-31
趣淘漫旅,Scenery,198,5427,0.8841642228739003,3187.006449235305,17295884,4620344,25009192,2817.8370804822416,6138,2020-07-31
高雄圓山大飯店,Scenery,107,1280,0.3858908652396744,2843.63828125,3639857,9152368,14095339,1097.3340367802232,3317,2020-07-31
礁溪老爺大酒店,Scenery,197,5310,0.8694940232520059,7402.624105461394,39307934,27512626,82273027,6436.537416079908,6107,2020-07-31
涵碧樓大飯店,Scenery,96,2557,0.8592069892473119,14868.82401251467,38019583,8633137,53338562,12775.397513440865,2976,2020-07-31
雲品溫泉酒店日月潭,Scenery,211,5894,0.9010854609386943,9054.267051238548,53365850,28959636,88107983,8158.66839932732,6541,2020-07-31
日月行館,Scenery,92,1222,0.4284712482468443,11271.1620294599,13773360,1608257,15823039,4829.368863955118,2852,2020-07-31
凱撒大飯店,Scenery,281,8582,0.9851911376420618,7140.539151712887,61280107,8931821,74145217,7034.795890253702,8711,2020-07-31
墾丁福華渡假飯店,Scenery,458,11613,0.8179321031131145,4795.48376819082,55689953,11781107,70576525,3922.3801239611207,14198,2020-07-31
知本老爺大酒店,Scenery,182,5237,0.9282169443459766,4874.525491693717,25527890,13003527,43806201,4524.617157036511,5642,2020-07-31
太魯閣晶英酒店,Scenery,160,3638,0.7334677419354839,9416.732545354591,34258073,10425652,49814728,6906.869556451614,4960,2020-07-31
福容大飯店 福隆,Scenery,174,3504,0.6496106785317018,4581.124429223744,16052260,9263608,25920136,2975.947348906192,5394,2020-07-31
龍谷大飯店,Scenery,189,1248,0.2130056323604711,1914.342948717949,2389100,1087057,3762150,407.76583034647564,5859,2020-07-31
阿里山賓館,Scenery,35,602,0.5548387096774193,5842.310631229236,3517071,0,3517071,3241.5400921658984,1085,2020-07-31
名都觀光渡假大飯店,Scenery,97,266,0.0884602593947456,3121.763157894737,830389,1331185,2230044,276.1519787163286,3007,2020-07-31
阿里山賓館(新館),Scenery,104,3019,0.9364143920595533,5687.837032129844,17171580,12260903,29893949,5326.172456575682,3224,2020-07-31
墾丁怡灣渡假酒店,Scenery,236,4037,0.5518042646254784,3065.129799355957,12373929,248405,13207400,1691.351694915254,7316,2020-07-31
福容大飯店 淡水漁人碼頭,Others,198,3946,0.6428804170739655,4280.787633046122,16891988,14158770,33404631,2752.0345389377644,6138,2020-07-31
大板根渡假酒店,Others,95,2827,0.9599320882852292,4864.009550760524,13750555,15213947,47297835,4669.11884550085,2945,2020-07-31
板橋凱撒大飯店,Others,400,4922,0.3969354838709677,3144.175741568468,15475633,8792742,24272664,1248.0349193548386,12400,2020-07-31
台南大飯店,Others,152,2693,0.5715195246179966,2205.856294095804,5940371,6020813,12711943,1260.6899405772497,4712,2020-07-31
台糖長榮酒店(台南),Others,197,4955,0.811364008514819,2628.899495459132,13026197,19442871,34165275,2132.9944326183067,6107,2020-07-31
