Hotel,Area,Room,Demand,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Supply,Date
圓⼭⼤飯店,Taipei,500,4346,0.2897,2606.0,11324332,38593239,61459524,754.9582,15000,2020-06-30
台北華國⼤飯店,Taipei,326,1355,0.13849999999999998,1823.0,2469773,13413708,16882436,252.48549999999997,9780,2020-06-30
華泰王⼦⼤飯店,Taipei,220,1040,0.1576,1212.0,1260439,8707707,10688801,191.01119999999997,6600,2020-06-30
豪景⼤酒店,Taipei,209,19,0.003,2140.0,40654,0,327658,6.42,6270,2020-06-30
國王⼤飯店,Taipei,97,20,0.0069,2483.0,49661,144303,240392,17.1327,2910,2020-06-30
國賓⼤飯店,Taipei,422,2246,0.17739999999999997,1730.0,3886367,63608086,71678195,306.90199999999993,12660,2020-06-30
康華⼤飯店,Taipei,215,289,0.044800000000000006,1579.0,456303,5481051,6234393,70.73920000000001,6450,2020-06-30
台北凱撒⼤飯店,Taipei,478,3430,0.23920000000000002,1736.0,5953633,12658621,23143769,415.25120000000004,14340,2020-06-30
兄弟⼤飯店,Taipei,250,545,0.0727,2926.0,1594597,33086587,38371690,212.7202,7500,2020-06-30
三德⼤飯店,Taipei,287,2162,0.2511,1022.0,2210096,203877,6400442,256.6242,8610,2020-06-30
亞都麗緻⼤飯店,Taipei,209,1173,0.18710000000000002,3046.0,3572980,8486471,15635392,569.9066,6270,2020-06-30
國聯⼤飯店,Taipei,243,3361,0.461,780.0,2620636,454289,3399992,359.58000000000004,7290,2020-06-30
台北寒舍喜來登⼤飯店,Taipei,688,4750,0.23010000000000003,2797.0,13284934,79469720,105387071,643.5897000000001,20640,2020-06-30
老爺⼤酒店,Taipei,202,2017,0.3328,2483.0,5007674,19698995,28110439,826.3424,6060,2020-06-30
福華⼤飯店,Taipei,606,3594,0.1977,2274.0,8174000,28895000,51269000,449.5698,18180,2020-06-30
台北君悅酒店,Taipei,850,2531,0.0993,4507.0,11408296,57152480,80842521,447.5451,25500,2020-06-30
⻄華⼤飯店,Taipei,343,1102,0.10710000000000001,2783.0,3067159,12110703,17716031,298.05930000000006,10290,2020-06-30
晶華酒店,Taipei,538,5525,0.3423,4079.0,22534481,106378805,171604614,1396.2417,16140,2020-06-30
香格⾥拉台北遠東國際⼤飯店,Taipei,420,1699,0.1348,4662.0,7920307,37371329,52890056,628.4376,12600,2020-06-30
神旺⼤飯店,Taipei,268,185,0.023,2659.0,491857,21437117,23509839,61.157,8040,2020-06-30
美麗信花園酒店,Taipei,203,1680,0.2759,1294.0,2174551,2904783,7420313,357.0146,6090,2020-06-30
台北寒舍艾美酒店,Taipei,160,1600,0.3333,4881.0,7809546,36015295,49237767,1626.8373,4800,2020-06-30
台北W飯店,Taipei,405,2685,0.221,5925.0,15908549,19559974,41023340,1309.425,12150,2020-06-30
台北萬豪酒店,Taipei,318,1425,0.1494,4970.0,7082626,35577115,54545967,742.518,9540,2020-06-30
台北美福⼤飯店,Taipei,146,985,0.2249,4674.0,4603967,45287191,56369969,1051.1825999999999,4380,2020-06-30
亞⼠都飯店,Taipei,40,110,0.0917,2279.0,250696,0,250696,208.98430000000002,1200,2020-06-30
天成⼤飯店,Taipei,225,2509,0.37170000000000003,1164.0,2920521,14187048,18371922,432.65880000000004,6750,2020-06-30
六福客棧,Taipei,230,210,0.0304,0.0,0,0,51525,0.0,6900,2020-06-30
第一⼤飯店,Taipei,176,149,0.0282,1188.0,176986,3027420,17809253,33.501599999999996,5280,2020-06-30
慶泰⼤飯店,Taipei,150,0,0.0,0.0,0,75303,288412,0.0,4500,2020-06-30
洛碁⼤飯店花華本館,Taipei,112,11,0.0033,1515.0,16662,0,19805,4.9995,3360,2020-06-30
歐華酒店,Taipei,112,260,0.0774,2509.0,652360,3512437,4613768,194.1966,3360,2020-06-30
福容⼤飯店台北一館,Taipei,120,406,0.1128,2649.0,1075553,7824406,9815893,298.80719999999997,3600,2020-06-30
⾸都⼤飯店,Taipei,129,204,0.0527,2368.0,483157,948333,1963477,124.7936,3870,2020-06-30
台北君品⼤酒店,Taipei,286,1546,0.1802,2672.0,4131191,36120303,43239980,481.4944,8580,2020-06-30
台北花園⼤酒店,Taipei,241,1728,0.239,1032.0,1783221,14116955,17530409,246.648,7230,2020-06-30
⽇勝⽣加賀屋國際溫泉飯店,Taipei,90,1469,0.5440999999999999,4303.0,6321061,6123670,15178984,2341.2623,2700,2020-06-30
北投麗禧溫泉酒店,Taipei,66,518,0.2616,13993.0,7248409,3068576,14244481,3660.5688,1980,2020-06-30
寒舍艾麗酒店,Taipei,235,3642,0.5166,3108.0,11319815,3910955,17213933,1605.5928,7050,2020-06-30
北投老爺酒店,Taipei,50,668,0.44530000000000003,4388.0,2931085,2835977,6579558,1953.9764000000002,1500,2020-06-30
台北有園飯店,Taipei,56,441,0.2625,2032.0,896330,0,1518901,533.4,1680,2020-06-30
合尊酒店,Taipei,101,1737,0.5733,3025.0,5254530,2034900,8023445,1734.2325,3030,2020-06-30
台北中⼭雅樂軒酒店,Taipei,88,726,0.275,2064.0,1498454,424456,2123016,567.6,2640,2020-06-30
義華酒店,Taipei,149,614,0.1374,3125.0,1918750,104445,2517991,429.375,4470,2020-06-30
華園⼤飯店,Kaohsiung,269,2323,0.2879,1464.0,3401344,2106286,5842139,421.4856,8070,2020-06-30
⾼雄國賓⼤飯店,Kaohsiung,453,6493,0.4778,2026.0,13154813,24433819,38626029,968.0228,13590,2020-06-30
漢來⼤飯店,Kaohsiung,535,6124,0.38159999999999994,2656.0,16264223,46328127,85209496,1013.5295999999998,16050,2020-06-30
⾼雄福華⼤飯店,Kaohsiung,271,3588,0.4413,2148.0,7706429,12569845,22881659,947.9124,8130,2020-06-30
寒軒國際⼤飯店,Kaohsiung,380,2795,0.2452,1865.0,5213591,6671981,12626279,457.298,11400,2020-06-30
麗尊⼤酒店,Kaohsiung,188,1387,0.2459,2476.0,3433914,7160403,11094782,608.8484,5640,2020-06-30
義⼤皇家酒店,Kaohsiung,656,8000,0.4065,2621.0,20970758,15256847,39286467,1065.4365,19680,2020-06-30
福容⼤飯店⾼雄,Kaohsiung,250,2916,0.38880000000000003,2157.0,6290739,2940983,9251052,838.6416,7500,2020-06-30
晶英國際⾏館,Kaohsiung,147,1229,0.2787,6555.0,8055911,12910113,23483713,1826.8785,4410,2020-06-30
