Hotel,Area,Room,Demand,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Supply,Date
圓⼭⼤飯店,Taipei,500,1113,0.0718,3208.0,3570844,11498239,18723562,230.33440000000002,15500,2020-03-31
台北華國⼤飯店,Taipei,326,1608,0.1591,2651.0,4263218,6216833,11658045,421.7741,10106,2020-03-31
華泰王⼦⼤飯店,Taipei,220,354,0.0519,2448.0,866439,4955978,7234985,127.05120000000001,6820,2020-03-31
豪景⼤酒店,Taipei,209,265,0.0409,1622.0,429934,440320,1115432,66.3398,6479,2020-03-31
國王⼤飯店,Taipei,97,181,0.0602,1986.0,359425,183190,587874,119.5572,3007,2020-03-31
國賓⼤飯店,Taipei,422,1135,0.0868,3316.0,3763456,34638087,41150150,287.8288,13082,2020-03-31
康華⼤飯店,Taipei,215,202,0.030299999999999997,2599.0,524943,2287684,3271935,78.74969999999999,6665,2020-03-31
台北凱撒⼤飯店,Taipei,478,1081,0.073,3361.0,3633105,5152593,13255965,245.35299999999998,14818,2020-03-31
兄弟⼤飯店,Taipei,250,762,0.0983,3114.0,2372975,19568935,24197150,306.1062,7750,2020-03-31
三德⼤飯店,Taipei,287,965,0.1085,1215.0,1172712,56449,4133989,131.8275,8897,2020-03-31
亞都麗緻⼤飯店,Taipei,209,565,0.0872,3990.0,2254470,6980772,11630180,347.928,6479,2020-03-31
國聯⼤飯店,Taipei,243,593,0.0787,1668.0,989102,281740,1423960,131.2716,7533,2020-03-31
台北寒舍喜來登⼤飯店,Taipei,688,2182,0.1023,4421.0,9647513,42630108,61343760,452.2683,21328,2020-03-31
老爺⼤酒店,Taipei,202,777,0.1241,3883.0,3017044,10102447,16384095,481.88030000000003,6262,2020-03-31
福華⼤飯店,Taipei,606,1261,0.06709999999999999,3220.0,4061000,15236000,31190000,216.06199999999998,18786,2020-03-31
台北君悅酒店,Taipei,850,2463,0.0935,4912.0,12097523,40321091,62253449,459.272,26350,2020-03-31
⻄華⼤飯店,Taipei,343,813,0.0765,3912.0,3180239,6060372,10836728,299.268,10633,2020-03-31
晶華酒店,Taipei,538,2841,0.1703,4604.0,13080531,65975762,121852090,784.0612,16678,2020-03-31
香格⾥拉台北遠東國際⼤飯店,Taipei,420,1605,0.1233,4621.0,7417382,18418015,31459754,569.7693,13020,2020-03-31
神旺⼤飯店,Taipei,268,120,0.0144,2656.0,318738,16082620,17027954,38.2464,8308,2020-03-31
美麗信花園酒店,Taipei,203,1194,0.18969999999999998,1494.0,1783452,2038424,5813495,283.41179999999997,6293,2020-03-31
台北寒舍艾美酒店,Taipei,160,717,0.1446,6005.0,4305429,16765934,29228505,868.3230000000001,4960,2020-03-31
台北W飯店,Taipei,405,1546,0.1231,7615.0,11772591,9477313,25537616,937.4065,12555,2020-03-31
台北萬豪酒店,Taipei,318,1187,0.1204,4876.0,5787537,24365320,38993433,587.0704,9858,2020-03-31
台北美福⼤飯店,Taipei,146,587,0.1297,4671.0,2742163,22782377,27659790,605.8287,4526,2020-03-31
亞⼠都飯店,Taipei,40,68,0.0548,2291.0,155764,0,155764,125.5468,1240,2020-03-31
天成⼤飯店,Taipei,225,1200,0.172,2791.0,3349014,7607392,11697632,480.05199999999996,6975,2020-03-31
六福客棧,Taipei,230,1142,0.1602,1209.0,1380931,7086756,9121102,193.6818,7130,2020-03-31
第一⼤飯店,Taipei,176,265,0.048600000000000004,1533.0,406376,2769339,22500727,74.50380000000001,5456,2020-03-31
慶泰⼤飯店,Taipei,150,186,0.04,2619.0,487077,2582115,3306701,104.76,4650,2020-03-31
洛碁⼤飯店花華本館,Taipei,112,25,0.0072,1766.0,44154,0,44154,12.7152,3472,2020-03-31
歐華酒店,Taipei,112,174,0.0501,3295.0,573380,2771502,3810965,165.0795,3472,2020-03-31
福容⼤飯店台北一館,Taipei,120,267,0.0718,2361.0,630349,3152926,4185030,169.5198,3720,2020-03-31
⾸都⼤飯店,Taipei,129,513,0.1283,1652.0,847551,1026223,2392654,211.95159999999998,3999,2020-03-31
台北君品⼤酒店,Taipei,286,1678,0.1893,2916.0,4892901,34993466,42912310,551.9988,8866,2020-03-31
台北花園⼤酒店,Taipei,241,944,0.1264,1968.0,1857775,8407432,11348315,248.75520000000003,7471,2020-03-31
⽇勝⽣加賀屋國際溫泉飯店,Taipei,90,946,0.33909999999999996,4768.0,4510723,4241612,11779140,1616.8287999999998,2790,2020-03-31
北投麗禧溫泉酒店,Taipei,66,241,0.11779999999999999,16327.0,3934845,2792698,10468558,1923.3205999999998,2046,2020-03-31
寒舍艾麗酒店,Taipei,235,2171,0.298,3001.0,6515835,4963440,12998360,894.298,7285,2020-03-31
北投老爺酒店,Taipei,50,348,0.2245,6631.0,2307634,1811397,4737531,1488.6595,1550,2020-03-31
台北有園飯店,Taipei,56,237,0.1365,2487.0,589428,0,904760,339.4755,1736,2020-03-31
合尊酒店,Taipei,101,720,0.23,3503.0,2522518,802012,3694475,805.69,3131,2020-03-31
台北中⼭雅樂軒酒店,Taipei,88,329,0.1206,3599.0,1183949,296869,1666999,434.0394,2728,2020-03-31
義華酒店,Taipei,149,264,0.0572,3540.0,934560,119015,2535315,202.488,4619,2020-03-31
華園⼤飯店,Kaohsiung,269,976,0.11699999999999999,1633.0,1593774,896527,5386936,191.06099999999998,8339,2020-03-31
⾼雄國賓⼤飯店,Kaohsiung,453,2835,0.20190000000000002,2077.0,5887923,14399728,21073756,419.34630000000004,14043,2020-03-31
漢來⼤飯店,Kaohsiung,535,3149,0.18989999999999999,2687.0,8461609,32049090,49973789,510.26129999999995,16585,2020-03-31
⾼雄福華⼤飯店,Kaohsiung,271,2257,0.2687,2010.0,4537216,9560670,16241194,540.087,8401,2020-03-31
寒軒國際⼤飯店,Kaohsiung,380,1953,0.16579999999999998,1890.0,3691955,6342238,10666379,313.36199999999997,11780,2020-03-31
麗尊⼤酒店,Kaohsiung,188,1183,0.203,2070.0,2448984,10871826,13765692,420.21000000000004,5828,2020-03-31
義⼤皇家酒店,Kaohsiung,656,1549,0.0762,2273.0,3520877,6851629,12102813,173.20260000000002,20336,2020-03-31
福容⼤飯店⾼雄,Kaohsiung,250,1417,0.18280000000000002,1624.0,2301518,3910988,6236956,296.8672,7750,2020-03-31
晶英國際⾏館,Kaohsiung,147,689,0.1512,6774.0,4667013,8862339,14952858,1024.2288,4557,2020-03-31
全國⼤飯店,Taichung,178,1060,0.19210000000000002,1851.0,1961717,4845488,8624663,355.57710000000003,5518,2020-03-31
⻑榮桂冠酒店(台中),Taichung,354,2223,0.2026,2043.0,4540995,8309842,15202430,413.9118,10974,2020-03-31
台中福華⼤飯店,Taichung,155,1051,0.2187,2324.0,2442448,3893940,7429660,508.2588,4805,2020-03-31
台中⾦典酒店,Taichung,222,1772,0.2575,2399.0,4250695,6861377,15992098,617.7425000000001,6882,2020-03-31
海灣藝術酒店,Taichung,226,131,0.0187,1858.0,243414,558314,936602,34.744600000000005,7006,2020-03-31
裕元花園酒店,Taichung,149,1585,0.3431,2433.0,3855932,10177707,16829390,834.7623000000001,4619,2020-03-31
台中港酒店,Taichung,200,2714,0.43770000000000003,2418.0,6562068,873953,8016844,1058.3586,6200,2020-03-31
花蓮亞⼠都飯店,Hualien,167,611,0.11800000000000001,982.0,600000,300000,915558,115.876,5177,2020-03-31
花蓮翰品酒店,Hualien,197,2691,0.44060000000000005,1961.0,5277695,4802578,10503728,864.0166,6107,2020-03-31
美侖⼤飯店,Hualien,343,2545,0.23929999999999998,1531.0,3895475,1699546,5735018,366.3683,10633,2020-03-31
遠雄悅來⼤飯店,Hualien,381,3381,0.2863,2702.0,9135386,5273229,17539237,773.5826,11811,2020-03-31
瑞穗天合國際觀光酒店,Hualien,198,1934,0.3151,5727.0,11076745,6689988,20596570,1804.5777,6138,2020-03-31
晶悅國際飯店,Taoyuan-Hsinchu-Miaoli,380,312,0.0265,1946.0,607083,1384221,2152168,51.568999999999996,11780,2020-03-31
尊爵天際⼤飯店,Taoyuan-Hsinchu-Miaoli,250,1322,0.17059999999999997,2723.0,3599171,27840745,31545815,464.5437999999999,7750,2020-03-31
南⽅莊園渡假飯店,Taoyuan-Hsinchu-Miaoli,111,566,0.16449999999999998,4686.0,2652369,3047477,7693759,770.8469999999999,3441,2020-03-31
台北諾富特華航桃園機場飯店,Taoyuan-Hsinchu-Miaoli,516,2764,0.1728,2741.0,7575673,4523621,13578307,473.64480000000003,15996,2020-03-31
