Hotel,Area,Room,Demand,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Supply,Date
圓⼭⼤飯店,Taipei,500,3231,0.20850000000000002,2349.0,7590310,30814965,48812911,489.76650000000006,15500,2020-05-31
台北華國⼤飯店,Taipei,326,942,0.0932,1875.0,1766035,14142136,17137897,174.75,10106,2020-05-31
華泰王⼦⼤飯店,Taipei,220,591,0.0867,1004.0,593114,9006182,11305201,87.0468,6820,2020-05-31
豪景⼤酒店,Taipei,209,36,0.005600000000000001,1777.0,63954,0,353518,9.951200000000002,6479,2020-05-31
國王⼤飯店,Taipei,97,7,0.0023,2130.0,14911,74790,130737,4.899,3007,2020-05-31
國賓⼤飯店,Taipei,422,746,0.057,3203.0,2389748,52225261,58074566,182.571,13082,2020-05-31
康華⼤飯店,Taipei,215,0,0.0,0.0,0,3334768,3552791,0.0,6665,2020-05-31
台北凱撒⼤飯店,Taipei,478,1940,0.1309,1602.0,3108567,9485831,37244342,209.7018,14818,2020-05-31
兄弟⼤飯店,Taipei,250,289,0.0373,2930.0,846858,31712653,36003400,109.289,7750,2020-05-31
三德⼤飯店,Taipei,287,1191,0.13390000000000002,919.0,1094010,64662,2088042,123.05410000000002,8897,2020-05-31
亞都麗緻⼤飯店,Taipei,209,535,0.08259999999999999,3416.0,1827537,11872381,18191900,282.16159999999996,6479,2020-05-31
國聯⼤飯店,Taipei,243,1510,0.2005,1110.0,1676360,371168,2280459,222.555,7533,2020-05-31
台北寒舍喜來登⼤飯店,Taipei,688,2653,0.1244,2799.0,7426029,65166273,83674712,348.1956,21328,2020-05-31
老爺⼤酒店,Taipei,202,1378,0.22010000000000002,2471.0,3404542,15897570,22503338,543.8671,6262,2020-05-31
福華⼤飯店,Taipei,606,1103,0.0587,2610.0,2879000,28545000,43662000,153.207,18786,2020-05-31
台北君悅酒店,Taipei,850,2065,0.0784,4385.0,9055886,53151528,72244671,343.784,26350,2020-05-31
⻄華⼤飯店,Taipei,343,1201,0.113,2209.0,2652452,10139723,14485788,249.61700000000002,10633,2020-05-31
晶華酒店,Taipei,538,3954,0.2371,4071.0,16095438,96136436,169239519,965.2341,16678,2020-05-31
香格⾥拉台北遠東國際⼤飯店,Taipei,420,1247,0.0958,4585.0,5717824,30560788,42993748,439.243,13020,2020-05-31
神旺⼤飯店,Taipei,268,186,0.022400000000000003,2265.0,421328,23208519,24879772,50.736000000000004,8308,2020-05-31
美麗信花園酒店,Taipei,203,1162,0.18460000000000001,1234.0,1433422,2130129,5475536,227.7964,6293,2020-05-31
台北寒舍艾美酒店,Taipei,160,873,0.17600000000000002,4888.0,4266791,25664310,34232151,860.2880000000001,4960,2020-05-31
台北W飯店,Taipei,405,1296,0.1032,7032.0,9113117,14141535,27365328,725.7024,12555,2020-05-31
台北萬豪酒店,Taipei,318,831,0.0843,5339.0,4436587,30790694,45093635,450.0777,9858,2020-05-31
台北美福⼤飯店,Taipei,146,732,0.1617,3312.0,2424718,35092359,41271770,535.5504000000001,4526,2020-05-31
亞⼠都飯店,Taipei,40,110,0.08869999999999999,2173.0,239082,0,239082,192.74509999999998,1240,2020-05-31
天成⼤飯店,Taipei,225,1199,0.17190000000000003,1202.0,1441412,10992638,13249736,206.62380000000002,6975,2020-05-31
六福客棧,Taipei,230,435,0.061,1143.0,497253,3332651,4118244,69.723,7130,2020-05-31
第一⼤飯店,Taipei,176,199,0.0365,1297.0,258113,2774348,16824311,47.3405,5456,2020-05-31
慶泰⼤飯店,Taipei,150,4,0.0009,1800.0,7200,8700,152541,1.6199999999999999,4650,2020-05-31
洛碁⼤飯店花華本館,Taipei,112,7,0.002,1195.0,8368,0,8368,2.39,3472,2020-05-31
歐華酒店,Taipei,112,181,0.0521,2603.0,471182,3778118,4747547,135.6163,3472,2020-05-31
福容⼤飯店台北一館,Taipei,120,242,0.06509999999999999,2287.0,553488,4927786,6056246,148.88369999999998,3720,2020-05-31
⾸都⼤飯店,Taipei,129,323,0.0808,2102.0,678900,1331914,2543521,169.8416,3999,2020-05-31
台北君品⼤酒店,Taipei,286,1184,0.1335,2631.0,3114903,31623094,37597938,351.23850000000004,8866,2020-05-31
台北花園⼤酒店,Taipei,241,1281,0.17149999999999999,996.0,1276330,11596481,14318020,170.814,7471,2020-05-31
⽇勝⽣加賀屋國際溫泉飯店,Taipei,90,1567,0.5616,3496.0,5478761,5946013,14121641,1963.3536,2790,2020-05-31
北投麗禧溫泉酒店,Taipei,66,293,0.1432,13319.0,3902600,2652798,10546141,1907.2808,2046,2020-05-31
寒舍艾麗酒店,Taipei,235,3136,0.4305,2856.0,8957680,3350148,13990348,1229.508,7285,2020-05-31
北投老爺酒店,Taipei,50,500,0.3226,4382.0,2190988,2754166,5586021,1413.6332,1550,2020-05-31
台北有園飯店,Taipei,56,147,0.08470000000000001,2334.0,343027,0,1323174,197.68980000000002,1736,2020-05-31
合尊酒店,Taipei,101,1606,0.5129,3026.0,4860045,2061675,7623225,1552.0354,3131,2020-05-31
台北中⼭雅樂軒酒店,Taipei,88,522,0.1913,2159.0,1127001,299957,1576545,413.0167,2728,2020-05-31
義華酒店,Taipei,149,629,0.1362,3046.0,1915934,91767,2502992,414.86519999999996,4619,2020-05-31
華園⼤飯店,Kaohsiung,269,1129,0.1354,1339.0,1511477,1984918,4001006,181.3006,8339,2020-05-31
⾼雄國賓⼤飯店,Kaohsiung,453,4290,0.3055,1814.0,7782874,19501024,28388056,554.177,14043,2020-05-31
漢來⼤飯店,Kaohsiung,535,3012,0.1816,2478.0,7463378,39616128,59459746,450.00480000000005,16585,2020-05-31
⾼雄福華⼤飯店,Kaohsiung,271,2188,0.26039999999999996,1947.0,4260739,11200044,17403047,506.9987999999999,8401,2020-05-31
寒軒國際⼤飯店,Kaohsiung,380,633,0.0537,1752.0,1109302,6173919,7559767,94.08239999999999,11780,2020-05-31
麗尊⼤酒店,Kaohsiung,188,1055,0.18100000000000002,2028.0,2139272,7779492,10331608,367.06800000000004,5828,2020-05-31
義⼤皇家酒店,Kaohsiung,656,2810,0.1382,2048.0,5754766,5458899,12899676,283.0336,20336,2020-05-31
福容⼤飯店⾼雄,Kaohsiung,250,1325,0.171,1756.0,2327223,1676569,4004353,300.276,7750,2020-05-31
晶英國際⾏館,Kaohsiung,147,0,0.0,0.0,3874007,10980830,16929441,0.0,4557,2020-05-31
全國⼤飯店,Taichung,178,1072,0.1943,1792.0,1921070,6247825,15333751,348.1856,5518,2020-05-31
⻑榮桂冠酒店(台中),Taichung,354,2805,0.2556,1977.0,5546019,13398137,21520264,505.3212,10974,2020-05-31
台中福華⼤飯店,Taichung,155,1664,0.34630000000000005,2314.0,3849839,4764984,9968131,801.3382000000001,4805,2020-05-31
台中⾦典酒店,Taichung,222,2308,0.3354,2359.0,5444700,9188326,19564982,791.2085999999999,6882,2020-05-31
海灣藝術酒店,Taichung,226,110,0.015700000000000002,1948.0,214244,593674,1044646,30.583600000000004,7006,2020-05-31
裕元花園酒店,Taichung,149,1617,0.35009999999999997,2544.0,4113962,16719245,24526387,890.6543999999999,4619,2020-05-31
台中港酒店,Taichung,200,2610,0.42100000000000004,2521.0,6579352,1073050,8303167,1061.3410000000001,6200,2020-05-31
花蓮亞⼠都飯店,Hualien,167,958,0.185,898.0,860000,360000,1236226,166.13,5177,2020-05-31
花蓮翰品酒店,Hualien,197,3366,0.5512,1968.0,6625811,5801190,12837662,1084.7616,6107,2020-05-31
美侖⼤飯店,Hualien,343,3706,0.34850000000000003,1492.0,5529588,2004313,7698344,519.9620000000001,10633,2020-05-31
遠雄悅來⼤飯店,Hualien,381,8671,0.7341,2012.0,17443280,11946052,33731164,1477.0092,11811,2020-05-31
瑞穗天合國際觀光酒店,Hualien,198,2932,0.4777,5911.0,17331800,9650287,31282500,2823.6847000000002,6138,2020-05-31
晶悅國際飯店,Taoyuan-Hsinchu-Miaoli,388,0,0.0,0.0,0,1786095,1964704,0.0,12028,2020-05-31
尊爵天際⼤飯店,Taoyuan-Hsinchu-Miaoli,250,1682,0.217,1615.0,2716203,25992391,28801075,350.455,7750,2020-05-31
南⽅莊園渡假飯店,Taoyuan-Hsinchu-Miaoli,111,1331,0.3868,4601.0,6124331,3755454,11750212,1779.6668,3441,2020-05-31
台北諾富特華航桃園機場飯店,Taoyuan-Hsinchu-Miaoli,516,2250,0.1407,3347.0,7530247,5095455,14291274,470.92289999999997,15996,2020-05-31
桃園喜來登酒店,Taoyuan-Hsinchu-Miaoli,190,831,0.1411,1771.0,1471509,3727722,5724894,249.8881,5890,2020-05-31
名⼈堂花園⼤飯店,Taoyuan-Hsinchu-Miaoli,128,543,0.1368,5424.0,2945420,12994405,21297630,742.0032,3968,2020-05-31
新⽵喜來登⼤飯店,Taoyuan-Hsinchu-Miaoli,386,3951,0.33020000000000005,2303.0,9101082,20038848,32523186,760.4506000000001,11966,2020-05-31
新⽵老爺⼤酒店,Taoyuan-Hsinchu-Miaoli,208,1786,0.27699999999999997,2633.0,4703376,7683348,13110011,729.3409999999999,6448,2020-05-31
新⽵國賓⼤飯店,Taoyuan-Hsinchu-Miaoli,257,1662,0.2086,2396.0,3981935,22059222,29622954,499.8056,7967,2020-05-31
尊爵⼤飯店,Taoyuan-Hsinchu-Miaoli,231,0,0.0,0.0,0,0,7635816,0.0,7161,2020-05-31
古華花園飯店,Taoyuan-Hsinchu-Miaoli,255,1938,0.2452,2700.0,5233532,11046533,16858577,662.04,7905,2020-05-31
福容⼤飯店桃園,Taoyuan-Hsinchu-Miaoli,182,662,0.1173,1949.0,1290070,2364613,3957493,228.6177,5642,2020-05-31
福容⼤飯店林⼝,Taoyuan-Hsinchu-Miaoli,149,853,0.18469999999999998,2238.0,1909189,700149,2622834,413.35859999999997,4619,2020-05-31
豐⾢喜來登⼤飯店,Taoyuan-Hsinchu-Miaoli,384,122,0.0102,2307.0,281477,3375381,3899980,23.5314,11904,2020-05-31
陽明⼭中國麗緻⼤飯店,Scenery,47,438,0.3006,3055.0,1338067,1857833,7314260,918.333,1457,2020-05-31
趣淘漫旅,Scenery,198,2406,0.392,2298.0,5528522,1119617,7891518,900.816,6138,2020-05-31
⾼雄圓⼭⼤飯店,Scenery,107,563,0.1697,2271.0,1278652,5423752,7654369,385.3887,3317,2020-05-31
礁溪老爺⼤酒店,Scenery,197,4026,0.6592,6371.0,25649970,17641095,53061657,4199.7632,6107,2020-05-31
涵碧樓⼤飯店,Scenery,96,1684,0.5659000000000001,13336.0,22457374,2592548,28119523,7546.842400000001,2976,2020-05-31
雲品溫泉酒店⽇⽉潭,Scenery,211,2763,0.4224,8258.0,22815500,14564607,40236900,3488.1792,6541,2020-05-31
⽇⽉⾏館,Scenery,92,465,0.163,11185.0,5201237,841201,6270061,1823.155,2852,2020-05-31
凱撒⼤飯店,Scenery,281,6622,0.7602,3783.0,25052268,5432368,32336961,2875.8366,8711,2020-05-31
墾丁福華渡假飯店,Scenery,458,4656,0.32789999999999997,2460.0,11451486,3194432,15253744,806.6339999999999,14198,2020-05-31
知本老爺⼤酒店,Scenery,182,3596,0.6374,3770.0,13555404,6942229,23031574,2402.998,5642,2020-05-31
太魯閣晶英酒店,Scenery,160,2998,0.6043999999999999,7784.0,23335923,7484155,34187533,4704.6496,4960,2020-05-31
福容⼤飯店福隆,Scenery,174,1823,0.33799999999999997,2862.0,5217038,3078965,8462579,967.3559999999999,5394,2020-05-31
龍⾕⼤飯店,Scenery,189,403,0.0688,1432.0,577026,296667,1076883,98.5216,5859,2020-05-31
阿⾥⼭賓館,Scenery,35,283,0.2608,4478.0,1267396,0,1267396,1167.8624,1085,2020-05-31
名都觀光渡假⼤飯店,Scenery,97,19,0.0063,2183.0,41470,894626,969775,13.7529,3007,2020-05-31
