Area,Room,Supply,Demand,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Date,Month
Hualien,1286,39866,16481,0.41,2395.71,39483652,35525375,81968544,990.41,1/1/2019,19-Jan
Kaohsiung,4041,125271,73568,0.59,2397.74,176396594,285906467,507621263,1408.12,1/1/2019,19-Jan
Others,4781,148211,73175,0.49,3511.67,256966114,306582253,627638976,1733.79,1/1/2019,19-Jan
Scenery,2908,90148,49566,0.55,4784.47,237147245,122465139,392187954,2630.64,1/1/2019,19-Jan
Taichung,1486,46066,28829,0.63,2598.69,74917555,143538320,250204935,1626.31,1/1/2019,19-Jan
Taipei,11210,347510,246082,0.71,4414.34,1086289575,1599957459,3054642156,3125.92,1/1/2019,19-Jan
Taoyuan-Hsinchu-Miaoli,3695,114545,75340,0.66,2785.9,209889483,282828215,533111955,1832.38,1/1/2019,19-Jan
Hualien,1287,36036,17038,0.47,4066.67,69287971,37428983,117989468,1922.74,2/1/2019,19-Feb
Kaohsiung,4041,113148,74750,0.66,2917.58,218089476,261316724,541809416,1927.47,2/1/2019,19-Feb
Others,4782,133896,68842,0.51,4515.68,310868378,275181297,652651513,2321.72,2/1/2019,19-Feb
Scenery,2911,81508,49148,0.6,6195.81,304511847,127845083,472853270,3735.97,2/1/2019,19-Feb
Taichung,1486,41608,23513,0.57,3147.44,74005725,112183575,215428885,1778.64,2/1/2019,19-Feb
Taipei,11218,314104,224765,0.72,4278.39,961632272,1201234324,2475938817,3061.51,2/1/2019,19-Feb
Taoyuan-Hsinchu-Miaoli,3695,103460,67048,0.65,2781.66,186504853,186922519,406107484,1802.68,2/1/2019,19-Feb
Hualien,1286,39866,17599,0.44,2630.65,46296845,34053830,88415173,1161.31,3/1/2019,19-Mar
Kaohsiung,4041,125271,81655,0.65,2351.61,192020612,235693709,471736352,1532.84,3/1/2019,19-Mar
Others,4780,148180,81652,0.55,3273.01,267247915,242196812,574177788,1803.54,3/1/2019,19-Mar
Scenery,2909,90179,50567,0.56,4691.15,237217375,122322902,390894466,2630.52,3/1/2019,19-Mar
Taichung,1486,46066,31924,0.69,2495.51,79666798,94943220,208924497,1729.41,3/1/2019,19-Mar
Taipei,11220,347820,282999,0.81,4349.45,1230890213,1209054922,2793095656,3538.87,3/1/2019,19-Mar
Taoyuan-Hsinchu-Miaoli,3695,114545,82867,0.72,2625.79,217591719,187602279,441923803,1899.62,3/1/2019,19-Mar
Hualien,1286,38580,20505,0.53,9001.2,184569625,36275692,230796216,4784.08,4/1/2019,19-Apr
Kaohsiung,4041,121230,83243,0.69,2281.88,189950129,195757106,425906626,1566.86,4/1/2019,19-Apr
Others,4830,144900,86547,0.6,3302.82,285849227,229799991,577317824,1972.73,4/1/2019,19-Apr
Scenery,2909,87270,50560,0.58,4914.3,248466924,111037367,389172562,2847.11,4/1/2019,19-Apr
Taichung,1486,44580,29360,0.66,2495.04,73254451,76917570,177100758,1643.21,4/1/2019,19-Apr
Taipei,11251,337530,258825,0.77,4342.18,1123863775,987826347,2425018796,3329.67,4/1/2019,19-Apr
Taoyuan-Hsinchu-Miaoli,3695,110850,74281,0.67,2658.58,197482170,167868353,396932873,1781.53,4/1/2019,19-Apr
Hualien,1286,39866,21223,0.53,2602.26,55227792,40847051,105775171,1385.34,5/1/2019,19-May
Kaohsiung,4041,125271,81481,0.65,2191.99,178605733,215020913,432104760,1425.75,5/1/2019,19-May
Others,4829,149699,83975,0.56,3204.22,269074741,276011437,604531943,1797.44,5/1/2019,19-May
Scenery,2974,92194,48669,0.53,4660.2,226807142,112521061,369543819,2460.11,5/1/2019,19-May
Taichung,1486,46066,27518,0.6,2390.04,65769242,99849350,193642290,1427.72,5/1/2019,19-May
Taipei,11138,345278,263671,0.76,4591.49,1210643427,1227430063,2803080462,3506.29,5/1/2019,19-May
Taoyuan-Hsinchu-Miaoli,3695,114545,71189,0.62,2686.6,191256611,193792393,417399211,1669.71,5/1/2019,19-May
Hualien,1286,38580,23676,0.61,3090.81,73178028,48985879,135733785,1896.79,6/1/2019,19-Jun
Kaohsiung,4041,121230,76379,0.63,2259.18,172553578,220754496,436978596,1423.36,6/1/2019,19-Jun
Others,4830,144900,87653,0.6,3474.96,304590905,278866973,649682001,2102.08,6/1/2019,19-Jun
Scenery,2974,89220,52856,0.59,5006.32,264613988,127759011,428301191,2965.86,6/1/2019,19-Jun
Taichung,1486,44580,29551,0.66,2452.84,72484000,106858062,208102157,1625.93,6/1/2019,19-Jun
Taipei,11136,334080,235972,0.71,4185.9,987754772,1189928459,2514257667,2956.64,6/1/2019,19-Jun
Taoyuan-Hsinchu-Miaoli,3695,110850,70069,0.63,2723.69,190846043,203198716,428434063,1721.66,6/1/2019,19-Jun
Hualien,1286,39866,28534,0.72,3636.62,103767179,52751705,175528487,2602.9,7/1/2019,19-Jul
Kaohsiung,3456,107136,75344,0.7,2313.93,174340773,190471115,397177389,1627.28,7/1/2019,19-Jul
Others,4818,149358,93903,0.63,3807.53,357538519,273098050,697533715,2393.84,7/1/2019,19-Jul
Scenery,2974,92194,59457,0.64,5851.49,347912285,135390527,527633137,3773.7,7/1/2019,19-Jul
Taichung,1484,46004,29855,0.65,2503.09,74729620,89374883,193562570,1624.42,7/1/2019,19-Jul
Taipei,11135,345185,246471,0.71,4114.21,1014034070,1033219826,2358991765,2937.65,7/1/2019,19-Jul
