Hotel,Hotel_Eng,Area,Room,Supply,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Demand,Date,Month,Address,Latitude,Longitude,Phone,Website,Note
⻄華⼤飯店,The Sherwood Taipei,Taipei,343,10633,0.26,3278.96,9085988,19353585,31404625,854.51,2771,12/1/2020,20-Dec,"No. 111, Section 3, Minsheng East Road, Songshan District, Taipei City, Taiwan 10491",25.05824095,121.5457722,+886 2-27181188,http://www.sherwood.com.tw/zh-tw/,
⻑榮桂冠酒店(台中),Evergreen Laurel Hotel (Taichung),Taichung,354,10974,0.57,2169.59,13477498,23713410,41725011,1228.13,6212,12/1/2020,20-Dec,"No. 666, Section 2, Taiwan Boulevard, Xitun District, Taichung City, Taiwan 407",24.15914933,120.6575558,+886 4-23139988 ,https://www.evergreen-hotels.com/,
⻑榮桂冠酒店(基隆),Evergreen Laurel Hotel (Keelung),Others,140,4340,0.74,2493.23,8060600,5564344,15596191,1857.28,3233,12/1/2020,20-Dec,"No. 62-1, Zhongzheng Rd, Zhongzheng District, Keelung City, Taiwan 202",25.13532164,121.7463542,+886 2-24279988,https://www.evergreen-hotels.com/,
⻑榮鳳凰酒店(礁溪),Evergreen Resort Hotel (Jiaoxi),Others,231,7161,0.66,6060.7,28782245,20595982,58453479,4019.31,4749,12/1/2020,20-Dec,"No. 77, Jiankang Road, Jiaoxi Township, Yilan County, Taiwan 262",24.83124931,121.7752379,+886 3-9100988,http://jiaosi.evergreen-hotels.com/,
三德大飯店,Santos Hotel,Taipei,287,8897,0.2,2873.98,5184668,974186,7288745,582.74,1804,12/1/2020,20-Dec,"No. 49, Section 3, Chengde Road, Datong District, Taipei City, Taiwan 103",25.06527757,121.5190914,+886 2-25963111,http://www.santoshotel.com/,
亞都麗緻⼤飯店,The Landis Taipei,Taipei,209,6479,0.31,2838.02,5755512,17191756,27909037,888.33,2028,12/1/2020,20-Dec,"No. 41, Section 2, Minquan East Road, Zhongshan District, Taipei City, Taiwan 10470",25.06301103,121.5306223,+886 2-25971234,http://taipei.landishotelsresorts.com/,
兄弟⼤飯店,Brother Hotel,Taipei,250,7750,0.57,1921.49,8456457,39813908,53105435,1091.16,4401,12/1/2020,20-Dec,"No. 255, Section 3, Nanjing East Road, Songshan District, Taipei City, Taiwan 105",25.05224833,121.5445303,+886 2-27123456,http://www.brotherhotel.com.tw/,
全國⼤飯店,Hotel National,Taichung,178,5518,0.45,2098.73,5213234,12194016,19578790,944.77,2484,12/1/2020,20-Dec,"No. 57, Guanqian Road, West District, Taichung City, Taiwan 403",24.15358783,120.6641794,+886 4-23213111,http://www.hotel-national.com.tw/,
六福客棧,Leofoo Hotel,Taipei,230,7130,0.25,990.85,1795420,0,1974706,251.81,1812,12/1/2020,20-Dec,"No. 168, Changchun Rd, Zhongshan District, Taipei City, Taiwan 104",25.05469607,121.5336569,+886 2-25073211,http://www.leofoo.com.tw/hotel,Permanently closed
凱撒⼤飯店,Caesar Park Kenting,Scenery,281,8711,0.85,4472.42,33051155,7537674,42775490,3794.19,7390,12/1/2020,20-Dec,"No. 6, Kending Road, Hengchun Township, Pingtung County, Taiwan 94644",21.94290238,120.805927,+886 8-8861888,http://kenting.caesarpark.com.tw/,
北投老爺酒店,Hotel Royal Beitou,Taipei,50,1550,0.66,6179.39,6309153,4328271,12969745,4070.42,1021,12/1/2020,20-Dec,"No. 2, Zhonghe Street, Beitou District, Taipei City, Taiwan 112",25.13764367,121.5037562,+886 2-28969777,http://www.hotelroyal.com.tw/beitou/,
北投麗禧溫泉酒店,Grand View Resort Beitou Hotel,Taipei,66,2046,0.82,14085.1,23564372,10261057,44406133,11517.29,1673,12/1/2020,20-Dec,"No. 30, Youya Road, Beitou District, Taipei City, Taiwan 112",25.13794809,121.5153762,+886 2-28988888,http://www.gvrb.com.tw/,
南⽅莊園渡假飯店,South Garden Hotels and Resorts,Taoyuan-Hsinchu-Miaoli,111,3441,0.55,3025.71,5715573,17188357,27289300,1661.02,1889,12/1/2020,20-Dec,"No. 8, Shuzi Road, Zhongli District, Taoyuan City, Taiwan 320",24.96783833,121.1787614,+886 3-4202122,http://www.southgarden.com.tw/,
古華花園飯店,Hotel Kuva Chateau,Taoyuan-Hsinchu-Miaoli,255,7905,0.65,2604.17,13359368,18483053,32848743,1689.99,5130,12/1/2020,20-Dec,"No. 398, Minquan Rd, Zhongli District, Taoyuan City, Taiwan 320",24.96510514,121.2174537,+886 3-2811818,https://www.kuva-chateau.com.tw/,
台中港酒店,Taichung Harbor Hotel,Taichung,200,6200,0.54,2749.38,9224173,1787023,13255159,1487.77,3355,12/1/2020,20-Dec,"No. 388, Section 2, Dazhi Road, Wuqi District, Taichung City, Taiwan 435",24.26047417,120.5341554,+886 4-26568888,https://www.tchhotel.com/,
台中福華⼤飯店,Howard Prince Hotel Taichung,Taichung,155,4805,0.6,2648.21,7679820,14473538,24803987,1598.3,2900,12/1/2020,20-Dec,"No. 129, Anhe Rd, Xitun District, Taichung City, Taiwan 407",24.1802867,120.6252292,+886 4-24632323,http://taichung.howard-hotels.com.tw/,
台中金典酒店,Splendor Hotel Taichung,Taichung,222,6882,0.58,2763.32,11069860,18892092,40410379,1608.52,4006,12/1/2020,20-Dec,"No. 1049, Jianxing Road, West District, Taichung City, Taiwan 403",24.15620652,120.6634004,+886 4-23288000,http://www.splendor-taichung.com.tw/,
台北W飯店,W Taipei,Taipei,405,12555,0.42,6817.36,35968369,46898960,93321276,2864.86,5276,12/1/2020,20-Dec,"No. 10, Section 5, Zhongxiao East Road, Xinyi District, Taipei City, Taiwan 110",25.04082943,121.5661732,+886 2-77038888,https://www.marriott.com/hotels/travel/tpewh-w-taipei/,
