Area,Room,Supply,Demand,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Date,Month
Overall,29407,911617,563041,0.62,3696.16,2081090218,2776803228,5447375783,2282.86,1/1/2019,19-Jan
Overall,29420,823760,525104,0.64,4046.63,2124900522,2202112505,4882778853,2579.51,2/1/2019,19-Feb
Overall,29417,911927,629263,0.69,3608.87,2270931477,2125867674,4969167735,2490.26,3/1/2019,19-Mar
Overall,29498,884940,603321,0.68,3817.93,2303436301,1805482426,4622245655,2602.93,4/1/2019,19-Apr
Overall,29449,912919,597726,0.65,3676.24,2197384688,2165472268,4926077656,2406.99,5/1/2019,19-May
Overall,29448,883440,576156,0.65,3585.87,2066021314,2176351596,4801489460,2338.61,6/1/2019,19-Jun
Overall,28848,894288,606626,0.68,3741.82,2269886684,1951876986,4759848514,2538.21,7/1/2019,19-Jul
Overall,28838,893978,617355,0.69,3783.62,2335836515,2046793219,4922540038,2612.86,8/1/2019,19-Aug
Overall,28834,865020,521218,0.6,3646.54,1900643990,2127943246,4610964630,2197.23,9/1/2019,19-Sep
Overall,28669,888739,607664,0.68,3768.6,2290039989,2155662722,5025593512,2576.73,10/1/2019,19-Oct
Overall,28473,854190,625571,0.73,3774.54,2361239677,2327790894,5309343261,2764.3,11/1/2019,19-Nov
Overall,28367,879377,625571,0.71,3774.54,2361239677,2327790894,5281911196,2685.13,12/1/2019,19-Dec
Overall,28590,886290,522038,0.59,4177.49,2180810143,3158882471,5954012828,2460.61,1/1/2020,20-Jan
Overall,28509,826761,285637,0.35,3655.84,1044241887,1227651723,2625090267,1263.05,2/1/2020,20-Feb
Overall,28595,886445,157191,0.18,3343.81,525616054,893183278,1698587213,592.95,3/1/2020,20-Mar
Overall,28594,857820,129777,0.15,3282.54,425998598,730926016,1399631627,496.61,4/1/2020,20-Apr
Overall,28409,880679,188724,0.21,3134.07,591473292,1228739132,2203468309,671.61,5/1/2020,20-May
Overall,28503,855090,293415,0.34,3364.63,987231644,1505597842,2898421619,1154.54,6/1/2020,20-Jun
Overall,27978,867318,391345,0.45,3658.12,1431586781,1800072427,3696812458,1650.59,7/1/2020,20-Jul
Overall,27974,867194,455162,0.52,3708.43,1687935933,2002761137,4226203338,1946.43,8/1/2020,20-Aug
Overall,27977,839310,393212,0.47,3281.58,1290354867,1983183003,3749750410,1537.4,9/1/2020,20-Sep
Overall,27962,866822,447836,0.52,3550.45,1590018735,2098826841,4166579142,1834.31,10/1/2020,20-Oct
Overall,27968,839040,359401,0.43,3473.46,1248364252,1920506705,3591135543,1487.85,11/1/2020,20-Nov
Overall,27925,865675,391179,0.45,3734.55,1460876555,2310227260,4254115135,1687.56,12/1/2020,20-Dec
